charid,名前,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10,紅 美鈴,0.0165441176470588,0.0431919936792204,0.0253164556962025,0.0254729883747435,0.021212205734687,0.0185867883722899,0.0177119968240557,0.0163545863948803,0.0160774719992496,0.0134775346860478,0.0134948873289098,0.0133931221973969,0.0131354827988624,0.0125684594860272,0.0133489804899515,0.0120904476234425,0.0112339694167137,0.012500068681696
11,小兎姫,0.0128676470588235,0.0002633658151171,0.0006124948958758,0.0005128789605653,0.0002928706906169,0.0002847665299274,0.000330827526886,0.0003413131073714,0.0002618353485536,0.0003803476046369,0.0004380763107563,0.0004093558114463,0.0005400730420463,0.0004563965735149,0.0004908543121833,0.000389237776128,0.0003465135538776,0.0005000027472678
12,めい＆まい,0.0091911764705882,0.0005267316302343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ルーミア,0.0091911764705882,0.0094811693442191,0.0104124132298897,0.0114542967859585,0.0092184536427535,0.0104824868584094,0.0107900670307466,0.0112491111637828,0.0109619127267611,0.0108757365789662,0.0122394247310104,0.0131431339155977,0.013479165643801,0.0123753686280016,0.0124970379481161,0.0122549708071667,0.0129110950174816,0.0145412886883993
14,幽香,0.0091911764705882,0.0018435607058203,0.0018374846876276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,エーリッヒ,0.0055147058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,エレン・ふわふわ頭・オーレウス,0.0055147058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,朝倉 理香子,0.0055147058823529,0.0002633658151171,0.0002041649652919,0.0003419193070435,0.0003068169139796,0.000146231461314,0.0002646620215088,0.0002417634510547,0.0002540193679998,0.0001984422285062,0.0002083533673109,0.0001843663578269,0.0002303808081456,0.0002194214295744,0.0002482481578858,0.0002327401135611,0.0002252338100204,0.0002774740520552
18,ビビット(VIVIT),0.0036764705882352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,レティ・ホワイトロック,0.0036764705882352,0.0068475111930471,0.0051041241322988,0.0037611123774789,0.0063036929599464,0.0060801502335855,0.0055070059090885,0.0050391087935529,0.0036656948797511,0.0031089282465975,0.0028421536258828,0.0024155117728856,0.0024284403219288,0.002374139867996,0.0023301474819737,0.0021307758672578,0.002092941865421,0.0018983620789125
