,初出作品,キャラ集計ポイント比率,音楽集計ポイント比率,名前,回,回n,名前n
6,妖々夢,0.22617962160929989,0.09506027952629839,東方妖々夢,4.0,0.21052631578947367,0.2631578947368421
7,妖精大戦争,0.001367677228174,0.0,妖精大戦争,4.0,0.21052631578947367,0.10526315789473684
8,封魔録,0.0741395030772737,0.0017603755467827766,東方封魔録,4.0,0.21052631578947367,0.2894736842105263
9,幺樂団の歴史,0.0,,,,,
10,幻想郷,0.0157852746751766,0.004640990077882865,東方幻想郷,4.0,0.21052631578947367,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,4.0,0.21052631578947367,0.3684210526315789
12,怪綺談,0.0523706405288351,0.011789181692093888,東方怪綺談,4.0,0.21052631578947367,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,4.0,0.21052631578947367,0.42105263157894735
14,星蓮船,0.0,0.0,東方星蓮船,4.0,0.21052631578947367,0.47368421052631576
15,永夜抄,0.1732391155687253,0.0777765923396989,東方永夜抄,4.0,0.21052631578947367,0.5
16,深秘録,0.0,0.0,東方深秘録,4.0,0.21052631578947367,0.5263157894736842
17,神霊廟,0.0,0.0,東方神霊廟,4.0,0.21052631578947367,0.5526315789473685
18,紅魔郷,0.2410531114656935,0.13170809772751452,東方紅魔郷,4.0,0.21052631578947367,0.5789473684210527
19,紺珠伝,0.0,0.0,東方紺珠伝,4.0,0.21052631578947367,0.6052631578947368
20,緋想天,0.0,0.0,東方緋想天,4.0,0.21052631578947367,0.631578947368421
21,花映塚,0.0821176202416228,0.0227248479675662,東方花映塚,4.0,0.21052631578947367,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0240483245953954,0.0108289768483943,東方萃夢想,4.0,0.21052631578947367,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,4.0,0.21052631578947367,0.7105263157894737
25,輝針城,0.0,0.0,東方輝針城,4.0,0.21052631578947367,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.070948256211534,0.004694334791421777,東方靈異伝,4.0,0.21052631578947367,0.7631578947368421
28,風神録,0.0,0.0,東方風神録,4.0,0.21052631578947367,0.8157894736842105
29,香霖堂,0.0079211306131752,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,4.0,0.21052631578947367,0.8421052631578947
31,Cradle,,0.0,Cradle,4.0,0.21052631578947367,0.0
32,トルテルマジック,,0.0017070308332443,トルテルマジック,4.0,0.21052631578947367,0.05263157894736842
33,メニュー,,0.0010135495572386765,メニュー,4.0,0.21052631578947367,0.07894736842105263
34,弾幕アマノジャク,,0.0,弾幕アマノジャク,4.0,0.21052631578947367,0.13157894736842105
35,夢時空,,0.0048543689320380765,東方夢時空,4.0,0.21052631578947367,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,4.0,0.21052631578947367,0.34210526315789475
37,文花帖,,0.0507308225754827,東方文花帖,4.0,0.21052631578947367,0.4473684210526316
38,非想天則,,0.022884882108182802,東方非想天則,4.0,0.21052631578947367,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,4.0,0.21052631578947367,0.868421052631579
40,秋霜玉,,0.0098687720046938,秋霜玉,4.0,0.21052631578947367,0.8947368421052632
41,秘封ナイトメアダイアリー,,0.0,秘封ナイトメアダイアリー,4.0,0.21052631578947367,0.9210526315789473
42,稀翁玉,,0.0,稀翁玉,4.0,0.21052631578947367,0.9473684210526315
43,黄昏酒場,,0.0,黄昏酒場,4.0,0.21052631578947367,0.9736842105263158
0,CD,0.0026497824389155,,,,,
1,ダブルスポイラー,0.0,0.0122419045469931,ダブルスポイラー,5.0,0.2631578947368421,0.02631578947368421
2,儚月抄,0.0010878054222915,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,5.0,0.2631578947368421,0.15789473684210525
4,地霊殿,0.0,0.0001316333822257,東方地霊殿,5.0,0.2631578947368421,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,5.0,0.2631578947368421,0.23684210526315788
6,妖々夢,0.181663505522704,0.20431381398322498,東方妖々夢,5.0,0.2631578947368421,0.2631578947368421
7,妖精大戦争,0.0066384023206514,0.0001316333822257,妖精大戦争,5.0,0.2631578947368421,0.10526315789473684
8,封魔録,0.0539300457436126,0.0019180864267175973,東方封魔録,5.0,0.2631578947368421,0.2894736842105263
9,幺樂団の歴史,0.0057597902488006,,,,,
10,幻想郷,0.0211564208412361,0.013294971604798268,東方幻想郷,5.0,0.2631578947368421,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,5.0,0.2631578947368421,0.3684210526315789
12,怪綺談,0.0358975789356242,0.014836962653728204,東方怪綺談,5.0,0.2631578947368421,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,5.0,0.2631578947368421,0.42105263157894735
14,星蓮船,0.0,0.0001316333822257,東方星蓮船,5.0,0.2631578947368421,0.47368421052631576
15,永夜抄,0.1460448510543341,0.12760916168340197,東方永夜抄,5.0,0.2631578947368421,0.5
16,深秘録,0.0,0.0,東方深秘録,5.0,0.2631578947368421,0.5263157894736842
17,神霊廟,0.0,0.0001316333822257,東方神霊廟,5.0,0.2631578947368421,0.5526315789473685
18,紅魔郷,0.2253430770947222,0.190717966076196,東方紅魔郷,5.0,0.2631578947368421,0.5789473684210527
19,紺珠伝,0.0,0.0,東方紺珠伝,5.0,0.2631578947368421,0.6052631578947368
20,緋想天,0.0,0.0,東方緋想天,5.0,0.2631578947368421,0.631578947368421
21,花映塚,0.0909433225482537,0.08495994584226474,東方花映塚,5.0,0.2631578947368421,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0202778087693852,0.0222836511339274,東方萃夢想,5.0,0.2631578947368421,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,5.0,0.2631578947368421,0.7105263157894737
25,輝針城,0.0,0.0001316333822257,東方輝針城,5.0,0.2631578947368421,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.0547668191453754,0.0019368911956071165,東方靈異伝,5.0,0.2631578947368421,0.7631578947368421
28,風神録,0.1113745397746286,0.19306856218737,東方風神録,5.0,0.2631578947368421,0.8157894736842105
29,香霖堂,0.0091905611960281,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,5.0,0.2631578947368421,0.8421052631578947
31,Cradle,,0.0094023844446951,Cradle,5.0,0.2631578947368421,0.0
32,トルテルマジック,,0.0007709955244648904,トルテルマジック,5.0,0.2631578947368421,0.05263157894736842
33,メニュー,,0.0005077287600134614,メニュー,5.0,0.2631578947368421,0.07894736842105263
34,弾幕アマノジャク,,0.0122419045469931,弾幕アマノジャク,5.0,0.2631578947368421,0.13157894736842105
35,夢時空,,0.007841588626875284,東方夢時空,5.0,0.2631578947368421,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,5.0,0.2631578947368421,0.34210526315789475
37,文花帖,,0.060325698597164,東方文花帖,5.0,0.2631578947368421,0.4473684210526316
