,名前,初出作品,初出番号,初出年,CD(秘封),書籍のみ,整数boss,整数自機,非整数自機,非整数boss,整数自機回数,非整数自機回数,oldcharid
72,赤蛮奇,輝針城,14.0,2013,0,0,2,,,,,,72
73,今泉 影狼,輝針城,14.0,2013,0,0,3,,,,,,73
74,九十九 弁々,輝針城,14.0,2013,0,0,4,,,,,,74
75,九十九 八橋,輝針城,14.0,2013,0,0,4,,,,,,75
76,鬼人 正邪,輝針城,14.0,2013,0,0,6,,1.0,,,,76
77,少名 針妙丸,輝針城,14.0,2013,0,0,6,,,,,,77
78,堀川 雷鼓,輝針城,14.0,2013,0,0,7,,,,,,78
79,宇佐見 菫子,深秘録,14.5,2014,0,0,0,,,,,,79
80,清蘭,紺珠伝,15.0,2015,0,0,2,,,,,,80
81,鈴瑚,紺珠伝,15.0,2015,0,0,2,,,,,,81
82,ドレミー・スイート,紺珠伝,15.0,2015,0,0,3,,,,,,82
83,稀神 サグメ,紺珠伝,15.0,2015,0,0,4,,,,,,83
84,クラウンピース,紺珠伝,15.0,2015,0,0,5,,,,,,84
85,純狐,紺珠伝,15.0,2015,0,0,6,,,,,,85
86,ヘカーティア・ラピスラズリ,紺珠伝,15.0,2015,0,0,7,,,,,,86
87,宇佐見 蓮子,CD,-1.0,2003,1,0,0,,,,,,87
88,マエリベリー・ハーン,CD,-1.0,2003,1,0,0,,,,,,88
89,森近 霖之助,香霖堂,-1.0,2010,0,1,0,,,,,,89
90,サニーミルク,妖精大戦争,12.8,2010,0,1,0,,,,,,90
91,ルナチャイルド,妖精大戦争,12.8,2010,0,1,0,,,,,,91
92,スターサファイア,妖精大戦争,12.8,2010,0,1,0,,,,,,92
93,稗田 阿求,幺樂団の歴史,-1.0,2006,0,1,0,,,,,,93
94,レイセン,儚月抄,-1.0,2007,0,1,0,,,,,,94
95,綿月 依姫,儚月抄,-1.0,2007,0,1,0,,,,,,95
96,綿月 豊姫,儚月抄,-1.0,2007,0,1,0,,,,,,96
97,茨木 華扇,茨歌仙,-1.0,2010,0,1,0,,,,,,97
98,本居 小鈴,鈴奈庵,-1.0,2012,0,1,0,,,,,,98
99,エタニティラルバ,天空璋,16.0,2017,0,0,1,,,,,,99
100,坂田 ネムノ,天空璋,16.0,2017,0,0,2,,,,,,100
101,高麗野 あうん,天空璋,16.0,2017,0,0,3,,,,,,101
102,矢田寺 成美,天空璋,16.0,2017,0,0,4,,,,,,102
103,爾子田 里乃,天空璋,16.0,2017,0,0,4,,,,,,103
104,丁礼田 舞,天空璋,16.0,2017,0,0,5,,,,,,104
105,摩多羅 隠岐奈,天空璋,16.0,2017,0,0,6,,,,,,105
106,依神 女苑,憑依華,15.5,2017,0,0,0,1.0,1.0,,,,106
107,依神 紫苑,憑依華,15.5,2017,0,0,0,1.0,1.0,,,,107
108,戎 瓔花,天空璋,16.0,2017,0,0,1,,,,,,108
109,牛崎 潤美,鬼形獣,17.0,2019,0,0,2,,,,,,109
110,庭渡 久侘歌,鬼形獣,17.0,2019,0,0,3,,,,,,110
111,吉弔 八千慧,鬼形獣,17.0,2019,0,0,4,,,,,,111
112,杖刀偶 磨弓,鬼形獣,17.0,2019,0,0,5,,,,,,112
113,埴安神 袿姫,鬼形獣,17.0,2019,0,0,6,,,,,,113
114,驪駒 早鬼,鬼形獣,17.0,2019,0,0,7,,,,,,114
115,饕餮 尤魔,剛欲異聞,17.5,2021,0,0,0,0.0,1.0,1.0,,,115
116,豪徳寺 ミケ,虹龍洞,18.0,2021,0,0,1,,,,,,116
117,山城 たかね,虹龍洞,18.0,2021,0,0,2,,,,,,117
118,駒草 山如,虹龍洞,18.0,2021,0,0,3,,,,,,118
119,玉造 魅須丸,虹龍洞,18.0,2021,0,0,4,,,,,,119
120,飯綱丸 龍,虹龍洞,18.0,2021,0,0,5,,,,,,120
121,菅牧 典,虹龍洞,18.0,2021,0,0,5,,,,,,121
122,天弓 千亦,虹龍洞,18.0,2021,0,0,6,,,,,,122
123,姫虫 百々世,虹龍洞,18.0,2021,0,0,7,,,,,,123
124,宮出口瑞霊,智霊奇伝,-1,2022,0,1,0,,,,,,
