,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,21回目ポイント,14回目ポイント
183,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,955.0,940,226.0
184,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,955.0,279,870.0
185,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,955.0,279,226.0
186,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,264.0,940,870.0
187,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,264.0,940,226.0
188,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,264.0,279,870.0
189,文花帖,1474.0,176.0,1226.0,201.0,914.0,940,264.0,279,226.0
190,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,955.0,940,870.0
191,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,955.0,940,226.0
192,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,955.0,279,870.0
193,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,955.0,279,226.0
194,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,264.0,940,870.0
195,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,264.0,940,226.0
196,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,264.0,279,870.0
197,文花帖,1474.0,176.0,1226.0,201.0,914.0,279,264.0,279,226.0
198,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,955.0,940,870.0
199,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,955.0,940,226.0
200,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,955.0,279,870.0
201,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,955.0,279,226.0
202,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,264.0,940,870.0
203,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,264.0,940,226.0
204,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,264.0,279,870.0
205,文花帖,1474.0,176.0,1226.0,201.0,231.0,940,264.0,279,226.0
206,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,955.0,940,870.0
207,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,955.0,940,226.0
208,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,955.0,279,870.0
209,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,955.0,279,226.0
210,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,264.0,940,870.0
211,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,264.0,940,226.0
212,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,264.0,279,870.0
213,文花帖,1474.0,176.0,1226.0,201.0,231.0,279,264.0,279,226.0
214,文花帖,1474.0,176.0,342.0,717.0,914.0,940,955.0,940,870.0
215,文花帖,1474.0,176.0,342.0,717.0,914.0,940,955.0,940,226.0
216,文花帖,1474.0,176.0,342.0,717.0,914.0,940,955.0,279,870.0
217,文花帖,1474.0,176.0,342.0,717.0,914.0,940,955.0,279,226.0
218,文花帖,1474.0,176.0,342.0,717.0,914.0,940,264.0,940,870.0
219,文花帖,1474.0,176.0,342.0,717.0,914.0,940,264.0,940,226.0
220,文花帖,1474.0,176.0,342.0,717.0,914.0,940,264.0,279,870.0
221,文花帖,1474.0,176.0,342.0,717.0,914.0,940,264.0,279,226.0
222,文花帖,1474.0,176.0,342.0,717.0,914.0,279,955.0,940,870.0
223,文花帖,1474.0,176.0,342.0,717.0,914.0,279,955.0,940,226.0
224,文花帖,1474.0,176.0,342.0,717.0,914.0,279,955.0,279,870.0
225,文花帖,1474.0,176.0,342.0,717.0,914.0,279,955.0,279,226.0
226,文花帖,1474.0,176.0,342.0,717.0,914.0,279,264.0,940,870.0
227,文花帖,1474.0,176.0,342.0,717.0,914.0,279,264.0,940,226.0
228,文花帖,1474.0,176.0,342.0,717.0,914.0,279,264.0,279,870.0
229,文花帖,1474.0,176.0,342.0,717.0,914.0,279,264.0,279,226.0
230,文花帖,1474.0,176.0,342.0,717.0,231.0,940,955.0,940,870.0
231,文花帖,1474.0,176.0,342.0,717.0,231.0,940,955.0,940,226.0
232,文花帖,1474.0,176.0,342.0,717.0,231.0,940,955.0,279,870.0
233,文花帖,1474.0,176.0,342.0,717.0,231.0,940,955.0,279,226.0
234,文花帖,1474.0,176.0,342.0,717.0,231.0,940,264.0,940,870.0
235,文花帖,1474.0,176.0,342.0,717.0,231.0,940,264.0,940,226.0
236,文花帖,1474.0,176.0,342.0,717.0,231.0,940,264.0,279,870.0
237,文花帖,1474.0,176.0,342.0,717.0,231.0,940,264.0,279,226.0
238,文花帖,1474.0,176.0,342.0,717.0,231.0,279,955.0,940,870.0
239,文花帖,1474.0,176.0,342.0,717.0,231.0,279,955.0,940,226.0
240,文花帖,1474.0,176.0,342.0,717.0,231.0,279,955.0,279,870.0
241,文花帖,1474.0,176.0,342.0,717.0,231.0,279,955.0,279,226.0
242,文花帖,1474.0,176.0,342.0,717.0,231.0,279,264.0,940,870.0
243,文花帖,1474.0,176.0,342.0,717.0,231.0,279,264.0,940,226.0
244,文花帖,1474.0,176.0,342.0,717.0,231.0,279,264.0,279,870.0
245,文花帖,1474.0,176.0,342.0,717.0,231.0,279,264.0,279,226.0
246,文花帖,1474.0,176.0,342.0,201.0,914.0,940,955.0,940,870.0
247,文花帖,1474.0,176.0,342.0,201.0,914.0,940,955.0,940,226.0
248,文花帖,1474.0,176.0,342.0,201.0,914.0,940,955.0,279,870.0
249,文花帖,1474.0,176.0,342.0,201.0,914.0,940,955.0,279,226.0
250,文花帖,1474.0,176.0,342.0,201.0,914.0,940,264.0,940,870.0
251,文花帖,1474.0,176.0,342.0,201.0,914.0,940,264.0,940,226.0
252,文花帖,1474.0,176.0,342.0,201.0,914.0,940,264.0,279,870.0
253,文花帖,1474.0,176.0,342.0,201.0,914.0,940,264.0,279,226.0
254,文花帖,1474.0,176.0,342.0,201.0,914.0,279,955.0,940,870.0
255,文花帖,1474.0,176.0,342.0,201.0,914.0,279,955.0,940,226.0
256,文花帖,1474.0,176.0,342.0,201.0,914.0,279,955.0,279,870.0
257,文花帖,1474.0,176.0,342.0,201.0,914.0,279,955.0,279,226.0
258,文花帖,1474.0,176.0,342.0,201.0,914.0,279,264.0,940,870.0
259,文花帖,1474.0,176.0,342.0,201.0,914.0,279,264.0,940,226.0
260,文花帖,1474.0,176.0,342.0,201.0,914.0,279,264.0,279,870.0
261,文花帖,1474.0,176.0,342.0,201.0,914.0,279,264.0,279,226.0
262,文花帖,1474.0,176.0,342.0,201.0,231.0,940,955.0,940,870.0
263,文花帖,1474.0,176.0,342.0,201.0,231.0,940,955.0,940,226.0
264,文花帖,1474.0,176.0,342.0,201.0,231.0,940,955.0,279,870.0
265,文花帖,1474.0,176.0,342.0,201.0,231.0,940,955.0,279,226.0
266,文花帖,1474.0,176.0,342.0,201.0,231.0,940,264.0,940,870.0
267,文花帖,1474.0,176.0,342.0,201.0,231.0,940,264.0,940,226.0
268,文花帖,1474.0,176.0,342.0,201.0,231.0,940,264.0,279,870.0
269,文花帖,1474.0,176.0,342.0,201.0,231.0,940,264.0,279,226.0
270,文花帖,1474.0,176.0,342.0,201.0,231.0,279,955.0,940,870.0
271,文花帖,1474.0,176.0,342.0,201.0,231.0,279,955.0,940,226.0
272,文花帖,1474.0,176.0,342.0,201.0,231.0,279,955.0,279,870.0
273,文花帖,1474.0,176.0,342.0,201.0,231.0,279,955.0,279,226.0
274,文花帖,1474.0,176.0,342.0,201.0,231.0,279,264.0,940,870.0
275,文花帖,1474.0,176.0,342.0,201.0,231.0,279,264.0,940,226.0
276,文花帖,1474.0,176.0,342.0,201.0,231.0,279,264.0,279,870.0
277,文花帖,1474.0,176.0,342.0,201.0,231.0,279,264.0,279,226.0
278,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,940,870.0
279,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,940,226.0
280,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,279,870.0
281,文花帖,407.0,802.0,1226.0,717.0,914.0,940,955.0,279,226.0
282,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,940,870.0
283,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,940,226.0
284,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,279,870.0
285,文花帖,407.0,802.0,1226.0,717.0,914.0,940,264.0,279,226.0
286,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,940,870.0
287,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,940,226.0
288,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,279,870.0
