,Track Name,Notes,作品
125,空に浮かぶ物体X, 早苗ストーリー・ラストスペルのテーマ,非想天則
126,青空の影, タイトル画面テーマ,星蓮船
127,春の湊に, １面テーマ,星蓮船
128,小さな小さな賢将, １面ボス・ナズーリンのテーマ,星蓮船
129,閉ざせし雲の通い路, ２面テーマ,星蓮船
130,万年置き傘にご注意を, ２面ボス・多々良 小傘のテーマ,星蓮船
131,スカイルーイン, ３面テーマ,星蓮船
132,時代親父とハイカラ少女, ３面ボス・雲居 一輪＆雲山のテーマ,星蓮船
133,幽霊客船の時空を越えた旅, ４面テーマ,星蓮船
134,キャプテン・ムラサ, ４面ボス・村紗 水蜜のテーマ,星蓮船
135,魔界地方都市エソテリア, ５面テーマ,星蓮船
136,虎柄の毘沙門天, ５面ボス・寅丸 星のテーマ,星蓮船
137,法界の火, ６面テーマ,星蓮船
138,感情の摩天楼, ６面ボス・聖 白蓮のテーマ,星蓮船
139,夜空のユーフォーロマンス, EXTRAのテーマ,星蓮船
140,平安のエイリアン, EXTRAボス・封獣 ぬえのテーマ,星蓮船
141,妖怪寺, エンディングテーマ,星蓮船
142,空の帰り道, スタッフロールのテーマ,星蓮船
143,プレイヤーズスコア, ゲームオーバーテーマ　（※風神録・地霊殿と同じ）,星蓮船
144,地霊達の起床, タイトル画面テーマ,地霊殿
145,暗闇の風穴, １面テーマ,地霊殿
146,封じられた妖怪, １面ボス・黒谷 ヤマメのテーマ,地霊殿
147,渡る者の途絶えた橋, ２面テーマ,地霊殿
148,緑眼のジェラシー, ２面ボス・水橋 パルスィのテーマ,地霊殿
149,旧地獄街道を行く, ３面テーマ,地霊殿
150,華のさかづき大江山, ３面ボス・星熊 勇儀のテーマ,地霊殿
151,ハートフェルトファンシー, ４面テーマ,地霊殿
152,少女さとり, ４面ボス・古明地 さとりのテーマ,地霊殿
153,廃獄ララバイ, ５面のテーマ,地霊殿
154,死体旅行, ５面ボス・火焔猫 燐のテーマ,地霊殿
155,業火マントル, ６面のテーマ,地霊殿
156,霊知の太陽信仰, ６面ボス・霊烏路 空のテーマ,地霊殿
157,ラストリモート, EXTRAのテーマ,地霊殿
158,ハルトマンの妖怪少女, EXTRAボス・古明地 こいしのテーマ,地霊殿
159,地霊達の帰宅, エンディングテーマ,地霊殿
160,エネルギー黎明, スタッフロールのテーマ,地霊殿
161,プレイヤーズスコア," ゲームオーバーテーマ　（※風神録と同じ）
エネルギー黎明 〜 Future Dream...のみスペースが両方とも半角スペースになっている",地霊殿
162,エネルギー黎明,,地霊殿
163,黒い海に紅く, 永江 衣玖のテーマ,緋想天
164,有頂天変, 比那名居 天子のテーマ,緋想天
165,幼心地の有頂天, ラストスペルのテーマ,緋想天
166,封印されし神々, タイトル画面テーマ,風神録
167,人恋し神様, １面テーマ,風神録
168,稲田姫様に叱られるから, １面ボス・秋 穣子のテーマ,風神録
169,厄神様の通り道, ２面テーマ,風神録
170,運命のダークサイド, ２面ボス・鍵山 雛のテーマ,風神録
171,神々が恋した幻想郷, ３面テーマ,風神録
172,芥川龍之介の河童, ３面ボス・河城 にとりのテーマ,風神録
173,フォールオブフォール, ４面テーマ,風神録
174,妖怪の山, ４面ボス・射命丸 文のテーマ,風神録
175,少女が見た日本の原風景, ５面テーマ,風神録
176,信仰は儚き人間の為に, ５面ボス・東風谷 早苗のテーマ,風神録
177,御柱の墓場, ６面テーマ,風神録
178,神さびた古戦場, ６面ボス・八坂 神奈子のテーマ,風神録
179,明日ハレの日、ケの昨日, EXTRAテーマ,風神録
180,ネイティブフェイス, EXTRAボス・洩矢 諏訪子のテーマ,風神録
181,麓の神社, エンディングテーマ,風神録
182,神は恵みの雨を降らす, スタッフロールテーマ,風神録
183,プレイヤーズスコア, ゲームオーバーテーマ,風神録
184,天狗の手帖, タイトル画面テーマ,文花帖
185,風の循環, 撮影曲１,文花帖
186,天狗が見ている, 撮影曲２,文花帖
187,東の国の眠らない夜, 撮影曲３,文花帖
188,レトロスペクティブ京都, 撮影曲４,文花帖
189,風神少女, 撮影曲５,文花帖
190,花映塚, タイトル画面テーマ,花映塚
191,春色小径, 博麗 霊夢のテーマ,花映塚
192,オリエンタルダークフライト, 霧雨 魔理沙のテーマ,花映塚
193,フラワリングナイト, 十六夜 咲夜のテーマ,花映塚
194,東方妖々夢, 魂魄 妖夢のテーマ,花映塚
195,狂気の瞳, 鈴仙・U・イナバのテーマ,花映塚
