,Track Name,Notes,作品
429,神魔討綺伝 AN ORDEAL FROM GOD," ５面テーマ
2008年12月19日の萎えラジにて製作元であるD.N.A.SoftwaresのスタッフによりZUN氏作曲である旨の発言
曲名不明だったが東方幻想麻雀にゲームタイトル＋使用ステージ名という形の曲名で収録
（他の使用曲も「神魔討綺伝 BGM1」という形式）
東方幻想麻雀ではスペースを省くなど曲名を省略表示する箇所がありそこでは「AN ORDEAL FROM GOD」と表示",神魔討綺伝
430,2008年12月19日の萎えラジにて製作元であるD.N.A.SoftwaresのスタッフによりZUN氏作曲である旨の発言,,神魔討綺伝
431,"曲名不明だったが東方幻想麻雀にゲームタイトル＋使用ステージ名という形の曲名で収録

東方幻想麻雀ではスペースを省くなど曲名を省略表示する箇所がありそこでは「AN ORDEAL FROM GOD」と表示",,神魔討綺伝
432,東方幻想麻雀ではスペースを省くなど曲名を省略表示する箇所がありそこでは「AN ORDEAL FROM GOD」と表示,,神魔討綺伝
433,キュアリアス上海古牌, ストーリーモード「香霖堂」卓３戦目テーマ,幻想麻雀
434,神魔討綺伝 AN ORDEAL FROM GOD, ストーリーモード「香霖堂」卓クリア後選択可能（※神魔討綺伝で使われているのと同一）,幻想麻雀
435,蓬莱伝説, オリジナル,蓬莱人形
436,二色蓮花蝶, 秋霜玉より,蓬莱人形
437,桜花之恋塚, 稀翁玉より,蓬莱人形
438,明治十七年の上海アリス, オリジナル（こちらがオリジナルで紅魔郷の方がアレンジ）,蓬莱人形
439,東方怪奇談, 東方霊異伝より,蓬莱人形
440,エニグマティクドール, 稀翁玉より,蓬莱人形
441,サーカスレヴァリエ, 秋霜玉より,蓬莱人形
442,人形の森, オリジナル,蓬莱人形
443,Witch of Love Potion, トルテルマジックより,蓬莱人形
444,リーインカーネイション, 東方夢時空より,蓬莱人形
445,U.N.オーエンは彼女なのか？, 東方紅魔郷より,蓬莱人形
446,永遠の巫女, 東方霊異伝より,蓬莱人形
447,空飛ぶ巫女の不思議な毎日, オリジナル,蓬莱人形
448,夜のデンデラ野を逝く, オリジナル,蓮台野夜行
449,少女秘封倶楽部, オリジナル,蓮台野夜行
450,東方妖々夢, 東方妖々夢より,蓮台野夜行
451,古の冥界寺, オリジナル,蓮台野夜行
452,幻視の夜, 東方永夜抄より,蓮台野夜行
453,魔術師メリー, オリジナル,蓮台野夜行
454,月の妖鳥、化猫の幻, オリジナル,蓮台野夜行
455,過去の花, 東方妖々夢より（未使用曲）,蓮台野夜行
456,魔法少女十字軍, 秋霜玉より,蓮台野夜行
457,少女幻葬, 東方妖々夢より,蓮台野夜行
458,幻想の永遠祭, オリジナル,蓮台野夜行
459,童祭, 東方の夜明けより 幻創神主・ZUN入退場テーマ,夢違科学世紀
460,華胥の夢, オリジナル,夢違科学世紀
461,上海紅茶館, 東方紅魔郷より,夢違科学世紀
462,ヴォヤージュ1969, 東方永夜抄より,夢違科学世紀
463,科学世紀の少年少女, オリジナル,夢違科学世紀
464,永夜の報い, 東方永夜抄より,夢違科学世紀
465,夜が降りてくる, 東方萃夢想より,夢違科学世紀
466,人形裁判, 東方妖々夢より,夢違科学世紀
467,夢と現の境界, オリジナル,夢違科学世紀
468,幻想機械, 秋霜玉より,夢違科学世紀
469,幽玄の槭樹, 東方永夜抄より,夢違科学世紀
470,ヒロシゲ36号, オリジナル,卯酉東海道
471,53ミニッツの青い海, オリジナル,卯酉東海道
472,竹取飛翔, 東方永夜抄より,卯酉東海道
473,彼岸帰航, 東方花映塚より,卯酉東海道
474,青木ヶ原の伝説, オリジナル,卯酉東海道
475,お宇佐さまの素い幡, 東方花映塚より,卯酉東海道
476,月まで届け不死の煙, 東方永夜抄より,卯酉東海道
477,レトロスペクティブ京都, 東方文花帖より,卯酉東海道
478,ラクトガール, 東方紅魔郷より,卯酉東海道
479,千年幻想郷, 東方永夜抄より,卯酉東海道
480,最も澄みわたる空と海, オリジナル,卯酉東海道
481,月面ツアーへようこそ, オリジナル,大空魔術
482,天空のグリニッジ, オリジナル,大空魔術
483,東の国の眠らない夜, 東方文花帖より,大空魔術
484,車椅子の未来宇宙, オリジナル,大空魔術
485,Demystify Feast, 東方萃夢想より,大空魔術
486,衛星カフェテラス, オリジナル,大空魔術
487,G Free, オリジナル,大空魔術
488,大空魔術, オリジナル,大空魔術
489,ネクロファンタジア, 東方妖々夢より,大空魔術
490,向こう側の月, オリジナル,大空魔術
491,未知の花 魅知の旅, オリジナル,未知の花
492,無間の鐘, ダブルスポイラーより,未知の花
493,明日ハレの日、ケの昨日, 東方風神録より,未知の花
494,衛星トリフネ, オリジナル,鳥船遺跡
495,トロヤ群の密林, オリジナル,鳥船遺跡
496,デザイアドライブ, 東方神霊廟より,鳥船遺跡
497,フェアリー冒険譚, 東方三月精より,鳥船遺跡
498,天鳥船神社, オリジナル,鳥船遺跡
499,夜空のユーフォーロマンス, 東方星蓮船より,鳥船遺跡
500,ハルトマンの妖怪少女, 東方地霊殿より,鳥船遺跡
501,天鳥船神社の結界, オリジナル,鳥船遺跡
502,感情の摩天楼, 東方星蓮船より,鳥船遺跡
503,宇宙に浮かぶ幻想郷, オリジナル,鳥船遺跡
504,緑のサナトリウム, オリジナル,伊弉諾物質
505,牛に引かれて善光寺参り, オリジナル,伊弉諾物質
506,ハートフェルトファンシー, 東方地霊殿より,伊弉諾物質
507,六十年目の東方裁判, 東方花映塚より,伊弉諾物質
508,アガルタの風, オリジナル,伊弉諾物質
509,イザナギオブジェクト, オリジナル,伊弉諾物質
510,妖怪裏参道, 東方神霊廟より,伊弉諾物質
511,アンノウンX, 東方非想天則より,伊弉諾物質
512,日本中の不思議を集めて, オリジナル,伊弉諾物質
513,素敵な墓場で暮しましょ, 東方神霊廟より,伊弉諾物質
514,他愛も無い二人の博物誌, オリジナル,燕石博物誌
515,凍り付いた永遠の都, 東方紺珠伝より,燕石博物誌
516,Dr.レイテンシーの眠れなくなる瞳, オリジナル,燕石博物誌
517,九月のパンプキン, 東方紺珠伝より,燕石博物誌
518,須臾はプランクを超えて, オリジナル,燕石博物誌
519,シュレディンガーの化猫, オリジナル,燕石博物誌
520,空中に沈む輝針城, 東方輝針城より,燕石博物誌
521,禁忌の膜壁, オリジナル,燕石博物誌
522,故郷の星が映る海, 東方紺珠伝より,燕石博物誌
523,ピュアヒューリーズ, 東方紺珠伝より,燕石博物誌
524,永遠の三日天下, 弾幕アマノジャクより,燕石博物誌
525,バー・オールドアダム, オリジナル,旧約酒場
526,燕石博物誌が連れてきた闇, オリジナル,旧約酒場
527,リバースイデオロギー, 東方輝針城より,旧約酒場
528,アウトサイダーカクテル, オリジナル,旧約酒場
529,大神神話伝, 東方神霊廟より,旧約酒場
530,パンデモニックプラネット, 東方紺珠伝より,旧約酒場
531,旧世界の冒険酒場, オリジナル,旧約酒場
532,魔界地方都市エソテリア, 東方星蓮船より,旧約酒場
533,亡失のエモーション, 東方心綺楼より,旧約酒場
534,二日酔いの同床異夢, オリジナル,旧約酒場
535,幻想郷, タイトル画面テーマ,幺樂団の歴史１
536,Witching Dream, 靈夢１面のテーマ,幺樂団の歴史１
537,Selene's light, 魔理沙１面のテーマ,幺樂団の歴史１
538,装飾戦, １面ボス・オレンジのテーマ,幺樂団の歴史１
539,Break the Sabbath, ２面テーマ,幺樂団の歴史１
540,紅響曲, ２面ボス・くるみのテーマ,幺樂団の歴史１
541,Bad Apple!!, ３面テーマ,幺樂団の歴史１
542,霊戦, ３面ボス・エリーのテーマ,幺樂団の歴史１
543,アリスマエステラ, ４面テーマ,幺樂団の歴史１
544,少女綺想曲, ４面ボス・靈夢のテーマ,幺樂団の歴史１
545,星の器, ４面ボス・魔理沙のテーマ,幺樂団の歴史１
546,Lotus Love, ５面テーマ,幺樂団の歴史１
547,眠れる恐怖, ５面ボス・幽香のテーマ１,幺樂団の歴史１
548,Dream Land, 最終面テーマ,幺樂団の歴史１
549,幽夢, 最終面ボス・幽香のテーマ２,幺樂団の歴史１
550,禁じざるをえない遊戯, エキストラステージテーマ,幺樂団の歴史１
551,メイド幻想, エキストラボス・夢月のテーマ,幺樂団の歴史１
552,かわいい悪魔, エキストラボス・幻月のテーマ,幺樂団の歴史１
553,Days, バッドエンドのテーマ,幺樂団の歴史１
554,Peaceful, グッドエンドのテーマ,幺樂団の歴史１
555,Arcadian Dream, スタッフロールのテーマ,幺樂団の歴史１
556,幻想の住人, ネームレジストのテーマ,幺樂団の歴史１
557,Lotus Road, 未使用曲,幺樂団の歴史１
558,Dreamy pilot, 未使用曲,幺樂団の歴史１
559,Incomplete Plot, 未使用曲,幺樂団の歴史１
560,Border Land, 未使用曲,幺樂団の歴史１
561,Magic Shop of Raspberry, 未使用曲,幺樂団の歴史１
562,Crescent Dream, 未使用曲,幺樂団の歴史１
563,装飾戦, 未使用曲,幺樂団の歴史１
564,幽夢, 未使用曲,幺樂団の歴史１
565,怪綺談, タイトル画面テーマ,幺樂団の歴史２
566,Dream Express, １面テーマ,幺樂団の歴史２
567,魔法陣, １面ボス・サラのテーマ,幺樂団の歴史２
568,夢想時空, ２面テーマ,幺樂団の歴史２
569,霊天, ２面ボス・ルイズのテーマ,幺樂団の歴史２
570,Romantic Children, ３面テーマ,幺樂団の歴史２
571,プラスチックマインド, ３面ボス・アリスのテーマ１,幺樂団の歴史２
572,メイプルワイズ, ４面テーマ,幺樂団の歴史２
573,禁断の魔法, ４面ボス・ユキ＆マイのテーマ,幺樂団の歴史２
574,真紅の少女, ４面ボス・ユキのテーマ,幺樂団の歴史２
575,裏切りの少女, ４面ボス・マイのテーマ,幺樂団の歴史２
576,the Last Judgement, ５面テーマ,幺樂団の歴史２
577,悲しき人形, ５面ボス・夢子のテーマ,幺樂団の歴史２
578,世界の果て, 最終面テーマ,幺樂団の歴史２
579,神話幻想, 最終面ボス・神綺のテーマ,幺樂団の歴史２
580,不思議の国のアリス, エキストラステージテーマ,幺樂団の歴史２
581,the Grimoire of Alice, エキストラボス・アリスのテーマ２,幺樂団の歴史２
582,神社, バッドエンドテーマ,幺樂団の歴史２
583,Endless, グッドエンドテーマ１,幺樂団の歴史２
584,久遠の楽園, グッドエンドテーマ２,幺樂団の歴史２
585,Mystic Dream, スタッフロールテーマ,幺樂団の歴史２
586,魂の休らむ所, ネームレジストテーマ,幺樂団の歴史２
587,Peaceful Romancer, エキストラエンディングのテーマ,幺樂団の歴史２
588,東方封魔録, タイトル画面,幺樂団の歴史３
589,博麗, １面テーマ,幺樂団の歴史３
590,She's in a temper!!, １面ボス・里香のテーマ１,幺樂団の歴史３
591,End of Daylight, ２面テーマ,幺樂団の歴史３
592,やみのちから, ２面ボス・明羅のテーマ,幺樂団の歴史３
593,幻夢界, ３面テーマ,幺樂団の歴史３
594,死を賭して, ３面ボス,幺樂団の歴史３
595,ひもろぎ、むらさきにもえ, ４面テーマ,幺樂団の歴史３
596,恋色マジック, ４面ボス・魔理沙のテーマ,幺樂団の歴史３
597,東方封魔録, 最終面テーマ,幺樂団の歴史３
598,Complete Darkness, 最終面ボス・魅魔のテーマ,幺樂団の歴史３
599,エキストララブ, エキストラステージテーマ,幺樂団の歴史３
600,戦車むすめのみるゆめ, エキストラボス・里香のテーマ２,幺樂団の歴史３
601,遠野の森, エンディングテーマ,幺樂団の歴史３
602,昔話わんだーらんど, スタッフロールテーマ,幺樂団の歴史３
603,博麗神社境内, 未使用曲（１面テーマ）,幺樂団の歴史３
604,陽落ちて, 未使用曲（２面テーマ）,幺樂団の歴史３
605,封魔終演, 未使用曲（スタッフロールテーマ）,幺樂団の歴史３
606,夢は時空を越えて, タイトル画面テーマ,幺樂団の歴史４
607,Selection, 使用キャラ選択テーマ,幺樂団の歴史４
608,東方妖恋談, 博麗 靈夢のテーマ,幺樂団の歴史４
609,Reincarnation, 魅魔のテーマ,幺樂団の歴史４
610,Dim. Dream, 霧雨 魔理沙のテーマ,幺樂団の歴史４
611,Tabula rasa, エレンのテーマ,幺樂団の歴史４
612,Maniacal Princess, 小兎姫のテーマ,幺樂団の歴史４
613,夢消失, カナ・アナベラルのテーマ,幺樂団の歴史４
614,夢幻遊戯, 朝倉 理香子のテーマ,幺樂団の歴史４
615,勝利デモ, 勝利デモテーマ,幺樂団の歴史４
616,魔法決戦!, ＣＰＵ７人目のテーマ,幺樂団の歴史４
617,非統一魔法世界論, 中ボスデモテーマ,幺樂団の歴史４
618,Sailor of Time, 北白河 ちゆりのテーマ,幺樂団の歴史４
619,魔法鐘愛, 夢美デモテーマ,幺樂団の歴史４
620,Strawberry Crisis!!, 岡崎 夢美のテーマ,幺樂団の歴史４
621,久遠の夢, 共通エンディングテーマ,幺樂団の歴史４
622,東方の青い空, 昼のエンディングテーマ,幺樂団の歴史４
623,永遠の満月, 夜のエンディングテーマ,幺樂団の歴史４
624,Maple Dream..., スタッフロールテーマ,幺樂団の歴史４
625,ゲームオーバー, ゲームオーバーテーマ,幺樂団の歴史４
626,霊人の休日, ネームレジストテーマ,幺樂団の歴史４
627,時の風, 未使用曲,幺樂団の歴史４
628,スターボウドリーム, 未使用曲,幺樂団の歴史４
629,Phantasmagoria , 未使用曲,幺樂団の歴史４
630,A Sacred Lot, タイトル画面テーマ,幺樂団の歴史５
631,永遠の巫女, １〜４面、地獄１６〜１９面テーマ,幺樂団の歴史５
632,The Positive and Negative, ５面テーマ,幺樂団の歴史５
633,Highly Responsive to Prayers, 魔界６〜９面テーマ,幺樂団の歴史５
634,東方怪奇談, 地獄６〜９面テーマ,幺樂団の歴史５
635,天使伝説, １０面テーマ,幺樂団の歴史５
636,Oriental Magician, 魔界１１〜１４面テーマ,幺樂団の歴史５
637,破邪の小太刀, 地獄１１〜１４面テーマ,幺樂団の歴史５
638,魔鏡, １５面テーマ,幺樂団の歴史５
639,the Legend of KAGE, 魔界１６〜１９面テーマ,幺樂団の歴史５
640,いざ、倒れ逝くその時まで, 魔界最終面テーマ１,幺樂団の歴史５
641,Civilization of Magic, 魔界最終面テーマ２,幺樂団の歴史５
642,星幽天使, 地獄最終面テーマ,幺樂団の歴史５
643,アイリス, エンディングテーマ,幺樂団の歴史５
644,テーマ・オブ・イースタンストーリー, オリジナル,幺樂団の歴史５
645,風神少女, 東方花映塚使用曲ロングバージョン,文花帖
646,おてんば恋娘の冒険, 東方花映塚より,文花帖
647,花映塚, 東方花映塚より,文花帖
648,ジャパニーズサーガ, オリジナル,求聞史紀
649,阿礼の子供, オリジナル,求聞史紀
650,夜の鳩山を飛ぶ‐Power Mix, 秋霜玉プロトタイプより,求聞史紀
651,サニールチルフレクション, サニーミルクのテーマ,三月精
652,夜だから眠れない, ルナチャイルドのテーマ,三月精
653,妖精燦々として, スターサファイアのテーマ,三月精
654,サニーミルクの紅霧異変,,三月精
655,雪月桜花の国,,三月精
656,スターヴォヤージュ2008,,三月精
657,可愛い大戦争のリフレーン,,三月精
658,サニールチルフレクション,,三月精
659,夜だから眠れない,,三月精
660,妖精燦々として,,三月精
661,フェアリー冒険譚,,三月精
662,二つの世界,,三月精
663,神域のかくれんぼ暮らし,,三月精
664,妖怪モダンコロニー, ダブルスポイラーより,三月精
665,年中夢中の好奇心, 妖精大戦争より,三月精
666,真夜中のフェアリーダンス, 妖精大戦争より,三月精
667,妖精大戦争, 妖精大戦争より,三月精
668,メイガスナイト, 妖精大戦争より,三月精
669,いたずらに命をかけて, 妖精大戦争より,三月精
670,古きユアンシェン, 東方神霊廟より,三月精
671,妖怪宇宙旅行,,儚月抄
672,綿月のスペルカード,,儚月抄
673,呑んべぇのレムリア , 黄昏酒場より,儚月抄
674,判読眼のビブロフィリア,,鈴奈庵
675,運河を行き交う人妖, 東方輝針城より,鈴奈庵
676,兎は舞い降りた, 東方紺珠伝より,鈴奈庵
677,六十年目の東方裁判, 東方花映塚より,紫香花
678,シンデレラケージ, 東方永夜抄より,Cradle
679,妖々跋扈," 東方妖々夢『博麗神社例大祭』スコアアタックより
同サークルがC86で頒布した「Cradle Re:BOOT - 東方幻樂祀典」に当時の音源そのままで再録",Cradle
680,同サークルがC86で頒布した「Cradle Re:BOOT,,Cradle
681,魔法使いの憂鬱, オリジナル,The
682,スプートニク幻夜, 秋霜玉より,The
683,ラストオカルティズム, 東方深秘録より,外來韋編
684,Mysterious Shrine, オリジナル,8BIT
685,宵闇の魔術師, オリジナル,オリジナル・その他
686,Magic of Life, オリジナル,オリジナル・その他
687,Plastic Space, 秋霜玉'99（秋霜玉プロトタイプ・99年度鳩山祭バージョン）１面テーマ,オリジナル・その他
688,Inventive City, 秋霜玉'99（秋霜玉プロトタイプ・99年度鳩山祭バージョン）２面テーマ,オリジナル・その他
689,夢幻回廊, オリジナル,オリジナル・その他
690,蓬莱幻想, 秋霜玉エキストラステージテーマ（未使用）,オリジナル・その他
691,リーインカーネーション, 東方夢時空 魅魔のテーマ（アレンジMP3）（幻想的音楽にて公開）,オリジナル・その他
692,東方怪奇談, 東方霊異伝 地獄６〜９面のテーマ（アレンジMP3）（幻想的音楽にて公開）,オリジナル・その他
693,魔法少女十字軍, 秋霜玉５面ボステーマ（アレンジMP3）（幻想的音楽にて2002/10/14公開）,オリジナル・その他
694,夜の鳩山を飛ぶ, Gian（秋霜玉プロトタイプ・98年度鳩山祭バージョン）BGM（東方書譜にて2004/01/26公開）,オリジナル・その他
695,Frontal Attack, 秋霜玉'99（秋霜玉プロトタイプ・99年度鳩山祭バージョン）BGM（未公開）,オリジナル・その他
