,名前,作品ポイント比率,音楽集計ポイント比率,回,回n,名前n
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,東方剛欲異聞,0.0,0.0,13.0,0.14285714285714285,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0,,,,
53,東方虹龍洞,0.0,0.0,13.0,0.14285714285714285,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
55,東方Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,Cradle,,0.0044398600771369,13.0,0.14285714285714285,0.0
58,トルテルマジック,,0.0007848237510090219,13.0,0.14285714285714285,0.05263157894736842
59,メニュー,,0.00078856100696595,13.0,0.14285714285714285,0.07894736842105263
60,東方幻想麻雀,,0.0007026041199509,13.0,0.14285714285714285,0.34210526315789475
61,神魔討綺伝 ,,0.0001831255419021,13.0,0.14285714285714285,0.868421052631579
62,秋霜玉,,0.0028440517834182615,13.0,0.14285714285714285,0.8947368421052632
63,稀翁玉,,0.0003812001076329598,13.0,0.14285714285714285,0.9473684210526315
64,黄昏酒場,,0.0005269530899632,13.0,0.14285714285714285,0.9736842105263158
0,東方紅魔郷,0.1023632354273861,0.14818800471026058,14.0,0.2857142857142857,0.5789473684210527
1,東方永夜抄,0.0962411768852013,0.077670802111678,14.0,0.2857142857142857,0.5
2,東方妖々夢,0.0843192734083151,0.09912719029368469,14.0,0.2857142857142857,0.2631578947368421
3,東方風神録,0.0738775386908058,0.08837914959490777,14.0,0.2857142857142857,0.8157894736842105
4,東方地霊殿,0.0607574033610906,0.0762286152801226,14.0,0.2857142857142857,0.18421052631578946
5,東方紺珠伝,0.0600223535690191,0.05990588297557918,14.0,0.2857142857142857,0.6052631578947368
6,東方鈴奈庵,0.0453717036037578,,,,
7,東方輝針城,0.036087924038142,0.04458871213156894,14.0,0.2857142857142857,0.7368421052631579
8,東方星蓮船,0.0317481095123498,0.044271166407189706,14.0,0.2857142857142857,0.47368421052631576
9,東方非想天則,0.0298148278674493,0.061753822677174476,14.0,0.2857142857142857,0.7894736842105263
10,東方深秘録,0.0204504948999627,0.0015568561209143,14.0,0.2857142857142857,0.5263157894736842
11,東方神霊廟,0.0253541832388509,0.035992925786917034,14.0,0.2857142857142857,0.5526315789473685
12,東方茨歌仙,0.0260288179795192,,,,
13,東方花映塚,0.0213667898462436,0.05179523593206233,14.0,0.2857142857142857,0.6578947368421053
14,東方緋想天,0.0176311258344828,0.0101658735374151,14.0,0.2857142857142857,0.631578947368421
15,弾幕アマノジャク,0.0147614108928337,0.0187131459519532,14.0,0.2857142857142857,0.13157894736842105
16,東方儚月抄,0.0123347396614743,,,,
17,東方心綺楼,0.0094650247198251,0.0049351897997256,14.0,0.2857142857142857,0.3684210526315789
18,東方三月精,0.0130496511030781,,,,
19,東方求聞史紀 / 東方求聞口授,0.0102302820375983,,,,
20,東方香霖堂,0.0106431182221864,,,,
21,大空魔術,0.0128180600726994,,,,
22,東方文花帖,0.0087601824534552,0.0150966529798577,14.0,0.2857142857142857,0.4473684210526316
23,ダブルスポイラー,0.0092938487408496,0.010465777832661996,14.0,0.2857142857142857,0.02631578947368421
24,蓬莱人形,0.0109149859535005,,,,
25,妖精大戦争,0.0086192140001812,0.014558589391326279,14.0,0.2857142857142857,0.10526315789473684
26,東方幻想郷,0.0082466545165285,0.01147133929319512,14.0,0.2857142857142857,0.3157894736842105
27,東方怪綺談,0.0074914663739893,0.011912375021500141,14.0,0.2857142857142857,0.39473684210526316
28,東方萃夢想,0.0063939262734989,0.0062053726972421,14.0,0.2857142857142857,0.6842105263157895
29,蓮台野夜行,0.005125210194033,,,,
30,東方夢時空,0.0051755560702022,0.008234137047441812,14.0,0.2857142857142857,0.21052631578947367
31,卯酉東海道,0.0057092223575966,,,,
32,The Grimoire of Marisa,0.0041988460725182,,,,
33,夢違科学世紀,0.004067946794478,,,,
34,東方靈異伝,0.004420367927663,0.00293288759322361,14.0,0.2857142857142857,0.7631578947368421
35,伊弉諾物質,0.0034738654556805,,,,
36,鳥船遺跡,0.0027388156636089,,,,
37,東方文花帖（書籍）,0.0022756336028515,,,,
38,幺樂団の歴史,0.0017822440163926,,,,
39,東方封魔録,0.0026179855608027,0.00192732613268962,14.0,0.2857142857142857,0.2894736842105263
40,未知の花　魅知の旅,0.001681552264054,,,,
41,燕石博物誌,0.0048029965865495,,,,
42,旧約酒場,0.0032422744253018,,,,
43,東方天空璋,0.0352018366175626,0.038286311574099806,14.0,0.2857142857142857,0.23684210526315788
44,東方憑依華,0.0329060646642433,0.0099674074596783,14.0,0.2857142857142857,0.42105263157894735
45,東方文果真報,0.0061220585421848,,,,
46,秘封ナイトメアダイアリー,0.0,0.0141131433057389,14.0,0.2857142857142857,0.9210526315789473
47,東方鬼形獣,0.0,0.0,14.0,0.2857142857142857,0.8421052631578947
48,東方酔蝶華,0.0,,,,
49,東方智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,東方剛欲異聞,0.0,0.0,14.0,0.2857142857142857,0.15789473684210525
