,Unnamed: 0_x,Number,Track Name,Notes,title,名前,Unnamed: 0_y,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18
21,13.0,13,亡き王女の為のセプテット,６面ボス・レミリア・スカーレットのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,レミリア・スカーレット,0.0,0.1194690265486725,0.0871643149749658,0.0485813549507817,0.0435292862477328,0.0425363872278009,0.0381332170228674,0.0344665689409628,0.0339076429930882,0.0328339491658268,0.0337860939296926,0.0361793556445574,0.0350068765509612,0.0319089349428197,0.0322944364040254,0.0329653621628542,0.0342651817699708,0.0379767657037113
22,14.0,14,魔法少女達の百年祭,EXTRAステージテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,フランドール・スカーレット,8.0,0.0324483775811209,0.0152480655439235,0.0043427909669947,0.0032006828123332,0.002312986573395,0.0033802729142002,0.0032865049845325,0.0038415306020234,0.004989362893293,0.0078637366736083,0.0080598804999984,0.0088797201542739,0.0083091131212539,0.0084200015706865,0.0080942987808537,0.0074749901692334,0.0090675439498303
23,15.0,15,U.N.オーエンは彼女なのか？,EXTRAステージボス・フランドール・スカーレットのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,フランドール・スカーレット,1.0,0.1135693215339233,0.0812471552116522,0.0562825709322524,0.0460898324975994,0.059065779081575,0.0349632375848962,0.0289994939825658,0.0289341881198036,0.0301959467024969,0.0361794050912255,0.0375589188450197,0.0355525159207103,0.0326763371100692,0.031015448823668,0.0342817360130277,0.0427430905043814,0.0543993890349395
24,16.0,16,紅より儚い永遠,エンディングテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,エンディング,35.0,0.0044247787610619,0.0011379153390987,0.0001737116386797,0.0001600341406166,0.0001880476888939,0.0001324070035516,0.0001408502136228,0.000165280977662,0.0002597693427387,0.000435147483915,0.0004940327677331,0.000564325649535,0.0005777568040786,0.0006394937901787,0.0007322079470569,0.0009668423577966,0.0010280662074637
25,17.0,17,紅楼,スタッフロールテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,スタッフロール,50.0,0.0029498525073746,0.0,0.0,0.0046943347914221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,17.0,17,紅楼,スタッフロールテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.,スタッフロール,88.0,0.0,0.0038689121529358,0.0029530978575564,0.0,0.0027643010267403,0.0034036388560034,0.0034117051744195,0.0033006110387659,0.0038562311051394,0.0041836322382121,0.0039056552769845,0.0040175501539749,0.0040310665567017,0.0049420528872583,0.0048653817684222,0.0039034456385669,0.0085329495219492
27,1.0,01,妖々夢,タイトル画面テーマ,東方妖々夢　～ Perfect Cherry Blossom.,タイトル画面,73.0,0.0014749262536873,0.0034137460172963,0.0017371163867979,0.0,0.000676971680018,0.0006698236650258,0.0006416509731706,0.0006561153961734,0.0007613929011308,0.0008267802194386,0.0011185647571316,0.0011772356265135,0.0010717168197795,0.001178014876645,0.0013243761228188,0.001922861853379,0.0021354403795032
28,1.0,01,妖々夢,タイトル画面テーマ,東方妖々夢　～ Perfect Cherry Blossom.,タイトル画面,232.0,0.0,0.0,0.0,0.0012269284113944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,02,無何有の郷,１面テーマ,東方妖々夢　～ Perfect Cherry Blossom.,レティ・ホワイトロック,16.0,0.0117994100294985,0.0063723258989531,0.004979733642154,0.0,0.0032156154800857,0.0031466134961679,0.0032134715404318,0.0028899128518481,0.0029783898779531,0.0027600783265471,0.0025726989414027,0.0026796125213023,0.002443337934806,0.0025860231339683,0.0024486954295019,0.0023918525493251,0.0019738871183304
30,2.0,02,無何有の郷,１面テーマ,東方妖々夢　～ Perfect Cherry Blossom.,レティ・ホワイトロック,215.0,0.0,0.0,0.0,0.0046943347914221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
