,名前,作品ポイント比率,キャラ集計ポイント比率,回,回n,名前n
55,Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,CD,,0.0178897864162617,12.0,0.0,0.0
0,紅魔郷,0.1122615472739581,0.1516056786980837,13.0,0.14285714285714285,0.5806451612903226
1,永夜抄,0.1015604658832514,0.0791339192307544,13.0,0.14285714285714285,0.4838709677419355
2,妖々夢,0.09069448542813,0.0924506852884853,13.0,0.14285714285714285,0.1935483870967742
3,風神録,0.0796983215011022,0.0762522707616536,13.0,0.14285714285714285,0.9032258064516129
4,地霊殿,0.0660464147471837,0.0971791569573112,13.0,0.14285714285714285,0.12903225806451613
5,紺珠伝,0.0596327090312613,0.054619135203320096,13.0,0.14285714285714285,0.6129032258064516
6,鈴奈庵,0.0464494627762059,0.0058539385676356,13.0,0.14285714285714285,0.8387096774193549
7,輝針城,0.0393240874138619,0.042586458895909,13.0,0.14285714285714285,0.8064516129032258
8,星蓮船,0.0357483813854992,0.0540526250193553,13.0,0.14285714285714285,0.45161290322580644
9,非想天則,0.032207390949645,,,,
10,深秘録,0.0312700699519189,0.0058501618330758,13.0,0.14285714285714285,0.5161290322580645
11,神霊廟,0.0271996667303119,0.0405810128446738,13.0,0.14285714285714285,0.5483870967741935
12,茨歌仙,0.0288139417819513,0.0088413356044097,13.0,0.14285714285714285,0.7096774193548387
13,花映塚,0.0236673551925847,0.0441764641455703,13.0,0.14285714285714285,0.6774193548387096
14,緋想天,0.0182430438631511,0.0239293901706705,13.0,0.14285714285714285,0.6451612903225806
15,弾幕アマノジャク,0.0155959799343875,,,,
16,儚月抄,0.0134609709951224,0.0048568806438574995,13.0,0.14285714285714285,0.06451612903225806
17,心綺楼,0.0121938518685667,0.0168782267475895,13.0,0.14285714285714285,0.3548387096774194
18,三月精,0.0129315582093697,,,,
19,求聞史紀 / 求聞口授,0.0115516134071618,,,,
20,香霖堂,0.0119508427210081,0.0040939802627851,13.0,0.14285714285714285,0.9354838709677419
21,大空魔術,0.0118727326378642,,,,
22,文花帖,0.0106403291038169,,,,
23,ダブルスポイラー,0.0105708979188002,0.0058426083639563,13.0,0.14285714285714285,0.03225806451612903
24,蓬莱人形,0.0100848796236829,,,,
25,妖精大戦争,0.0097637603929805,0.0054724883770993,13.0,0.14285714285714285,0.22580645161290322
26,幻想郷,0.0084098522851538,0.0137699742049029,13.0,0.14285714285714285,0.3225806451612903
27,怪綺談,0.0072468799361233,0.0247867089157372,13.0,0.14285714285714285,0.3870967741935484
28,萃夢想,0.007038586381073,0.0078971519644684,13.0,0.14285714285714285,0.7419354838709677
29,蓮台野夜行,0.00555449480134,,,,
30,夢時空,0.0054763847181961,,,,
31,卯酉東海道,0.0055197792088316,,,,
32,The Grimoire of Marisa,0.0043915224523094,,,,
33,夢違科学世紀,0.0041051188141153,,,,
34,靈異伝,0.0041832288972592,0.0403128646909309,13.0,0.14285714285714285,0.8709677419354839
35,伊弉諾物質,0.0033587335751852,,,,
36,鳥船遺跡,0.0026557428268906,,,,
37,文花帖（書籍）,0.002968183159466,,,,
38,幺樂団の歴史,0.0019353942823419,0.0048266667673795,13.0,0.14285714285714285,0.2903225806451613
39,封魔録,0.0021784034299005,0.0339528436922867,13.0,0.14285714285714285,0.25806451612903225
40,未知の花　魅知の旅,0.0014927704778601,,,,
41,燕石博物誌,0.0056846782732464,,,,
42,旧約酒場,0.0043654857579281,,,,
