,Number,Track Name,Notes,title
16,16,地霊達の帰宅,エンディングテーマ,東方地霊殿　～ Subterranean Animism.
17,17,エネルギー黎明 ～ Future Dream...,スタッフロールテーマ,東方地霊殿　～ Subterranean Animism.
18,18,プレイヤーズスコア,ゲームオーバーテーマ（※風神録と同じ）,東方地霊殿　～ Subterranean Animism.
1,01,青空の影,タイトル画面テーマ,東方星蓮船　～ Undefined Fantastic Object.
2,02,春の湊に,１面テーマ,東方星蓮船　～ Undefined Fantastic Object.
3,03,小さな小さな賢将,１面ボス・ナズーリンのテーマ,東方星蓮船　～ Undefined Fantastic Object.
4,04,閉ざせし雲の通い路,２面テーマ,東方星蓮船　～ Undefined Fantastic Object.
5,05,万年置き傘にご注意を,２面ボス・多々良 小傘のテーマ,東方星蓮船　～ Undefined Fantastic Object.
6,06,スカイルーイン,３面テーマ,東方星蓮船　～ Undefined Fantastic Object.
7,07,時代親父とハイカラ少女,３面ボス・雲居 一輪＆雲山のテーマ,東方星蓮船　～ Undefined Fantastic Object.
8,08,幽霊客船の時空を越えた旅,４面テーマ,東方星蓮船　～ Undefined Fantastic Object.
9,09,キャプテン・ムラサ,４面ボス・村紗 水蜜のテーマ,東方星蓮船　～ Undefined Fantastic Object.
10,10,魔界地方都市エソテリア,５面テーマ,東方星蓮船　～ Undefined Fantastic Object.
11,11,虎柄の毘沙門天,５面ボス・寅丸 星のテーマ,東方星蓮船　～ Undefined Fantastic Object.
12,12,法界の火,６面テーマ,東方星蓮船　～ Undefined Fantastic Object.
13,13,感情の摩天楼　～ Cosmic Mind,６面ボス・聖 白蓮のテーマ,東方星蓮船　～ Undefined Fantastic Object.
14,14,夜空のユーフォーロマンス,EXTRAステージテーマ,東方星蓮船　～ Undefined Fantastic Object.
15,15,平安のエイリアン,EXTRAステージボス・封獣 ぬえのテーマ,東方星蓮船　～ Undefined Fantastic Object.
16,16,妖怪寺,エンディングテーマ,東方星蓮船　～ Undefined Fantastic Object.
17,17,空の帰り道　～ Sky Dream,スタッフロールテーマ,東方星蓮船　～ Undefined Fantastic Object.
18,18,プレイヤーズスコア,ゲームオーバーテーマ（※風神録・地霊殿と同じ）,東方星蓮船　～ Undefined Fantastic Object.
1,-,君はあの影を見たか,タイトル,東方非想天則　～ 超弩級ギニョルの謎を追え
2,-,萃夢想,キャラクターセレクト,東方非想天則　～ 超弩級ギニョルの謎を追え
3,-,伝説の巨神,会話,東方非想天則　～ 超弩級ギニョルの謎を追え
4,-,ぼくらの非想天則,会話,東方非想天則　～ 超弩級ギニョルの謎を追え
5,-,人形のある風景,会話,東方非想天則　～ 超弩級ギニョルの謎を追え
6,-,悠久の蒸気機関,スタッフロール,東方非想天則　～ 超弩級ギニョルの謎を追え
7,-,信仰は儚き人間の為に,vs早苗,東方非想天則　～ 超弩級ギニョルの謎を追え
8,-,おてんば恋娘,vsチルノ,東方非想天則　～ 超弩級ギニョルの謎を追え
9,-,上海紅茶館　～ Chinese Tea,vs美鈴,東方非想天則　～ 超弩級ギニョルの謎を追え
10,-,霊知の太陽信仰　～ Nuclear Fusion,vs空,東方非想天則　～ 超弩級ギニョルの謎を追え
11,-,明日ハレの日、ケの昨日,vs諏訪子,東方非想天則　～ 超弩級ギニョルの謎を追え
12,-,アンノウンＸ　～ Unfound Adventure,ラスボス戦,東方非想天則　～ 超弩級ギニョルの謎を追え
13,-,空に浮かぶ物体Ｘ,ラストバトル,東方非想天則　～ 超弩級ギニョルの謎を追え
14,-,二色蓮花蝶　～ Ancients,vs霊夢,東方非想天則　～ 超弩級ギニョルの謎を追え
15,-,恋色マジック,vs魔理沙,東方非想天則　～ 超弩級ギニョルの謎を追え
16,-,the Grimoire of Alice,vsアリス,東方非想天則　～ 超弩級ギニョルの謎を追え
17,-,ヴワル魔法図書館,vsパチュリー,東方非想天則　～ 超弩級ギニョルの謎を追え
18,-,東方妖恋談,霊夢特殊,東方非想天則　～ 超弩級ギニョルの謎を追え
1,01,ニュースハウンド,タイトル画面テーマ,ダブルスポイラー　～ 東方文花帖
2,02,あなたの町の怪事件,取材のテーマ１,ダブルスポイラー　～ 東方文花帖
3,03,妖怪モダンコロニー,取材のテーマ２,ダブルスポイラー　～ 東方文花帖
4,04,ネメシスの要塞,取材のテーマ３,ダブルスポイラー　～ 東方文花帖
5,05,無間の鐘　～ Infinite Nightmare,取材のテーマ４,ダブルスポイラー　～ 東方文花帖
6,06,妖怪の山　～ Mysterious Mountain,取材のテーマ５,ダブルスポイラー　～ 東方文花帖
7,07,曲名不明,SPOILER クリア,ダブルスポイラー　～ 東方文花帖
1,01,春の氷精,タイトル画面テーマ,妖精大戦争　～ 東方三月精
2,02,可愛い大戦争のリフレーン,１面のテーマ,妖精大戦争　～ 東方三月精
3,03,いたずらに命をかけて,１、２面ボスのテーマ,妖精大戦争　～ 東方三月精
4,04,年中夢中の好奇心,２面のテーマ,妖精大戦争　～ 東方三月精
5,05,真夜中のフェアリーダンス,３面のテーマ,妖精大戦争　～ 東方三月精
6,06,妖精大戦争　～ Fairy Wars,３面ボスのテーマ,妖精大戦争　～ 東方三月精
7,07,ルーズレイン,EXTRAのテーマ,妖精大戦争　～ 東方三月精
8,08,メイガスナイト,EXTRAボス・霧雨 魔理沙のテーマ,妖精大戦争　～ 東方三月精
9,09,春の氷精　- 静 -,エンディングテーマ,妖精大戦争　～ 東方三月精
10,10,プレイヤーズスコア,ネームレジストのテーマ（風～星と異なり、アレンジ版）,妖精大戦争　～ 東方三月精
1,01,欲深き霊魂,タイトル画面テーマ,東方神霊廟　～ Ten Desires.
2,02,死霊の夜桜,１面テーマ,東方神霊廟　～ Ten Desires.
3,03,ゴーストリード,１面ボス・西行寺 幽々子のテーマ,東方神霊廟　～ Ten Desires.
4,04,妖怪寺へようこそ,２面テーマ,東方神霊廟　～ Ten Desires.
5,05,門前の妖怪小娘,２面ボス・幽谷 響子のテーマ,東方神霊廟　～ Ten Desires.
6,06,素敵な墓場で暮しましょ,３面テーマ,東方神霊廟　～ Ten Desires.
7,07,リジッドパラダイス,３面ボス・宮古 芳香のテーマ,東方神霊廟　～ Ten Desires.
8,08,デザイアドライブ,４面テーマ,東方神霊廟　～ Ten Desires.
9,09,古きユアンシェン,４面ボス・霍 青娥のテーマ,東方神霊廟　～ Ten Desires.
10,10,夢殿大祀廟,５面テーマ,東方神霊廟　～ Ten Desires.
11,11,大神神話伝,５面ボス・物部 布都のテーマ,東方神霊廟　～ Ten Desires.
12,12,小さな欲望の星空,６面テーマ,東方神霊廟　～ Ten Desires.
13,13,聖徳伝説　～ True Administrator,６面ボス・豊聡耳 神子のテーマ,東方神霊廟　～ Ten Desires.
14,14,妖怪裏参道,EXTRAステージテーマ,東方神霊廟　～ Ten Desires.
15,15,佐渡の二ッ岩,EXTRAボス・二ッ岩 マミゾウのテーマ,東方神霊廟　～ Ten Desires.
16,16,神社の新しい風,エンディングテーマ,東方神霊廟　～ Ten Desires.
17,17,デザイアドリーム,スタッフロールテーマ,東方神霊廟　～ Ten Desires.
18,18,プレイヤーズスコア,ネームレジストのテーマ（※妖精大戦争と同じ）,東方神霊廟　～ Ten Desires.
1,-,幻想郷の二ッ岩,二ッ岩 マミゾウのテーマ,東方心綺楼　～ Hopeless Masquerade.
2,-,亡失のエモーション,秦 こころのテーマ,東方心綺楼　～ Hopeless Masquerade.
1,01,不思議なお祓い棒,タイトル画面テーマ,東方輝針城　～ Double Dealing Character.
2,02,ミストレイク,１面テーマ,東方輝針城　～ Double Dealing Character.
3,03,秘境のマーメイド,１面ボス・わかさぎ姫のテーマ,東方輝針城　～ Double Dealing Character.
4,04,運河を行き交う人妖,２面テーマ,東方輝針城　～ Double Dealing Character.
5,05,柳の下のデュラハン,２面ボス・赤蛮奇のテーマ,東方輝針城　～ Double Dealing Character.
6,06,満月の竹林,３面テーマ,東方輝針城　～ Double Dealing Character.
7,07,孤独なウェアウルフ,３面ボス・今泉 影狼のテーマ,東方輝針城　～ Double Dealing Character.
8,08,マジカルストーム,４面テーマ,東方輝針城　～ Double Dealing Character.
9,09,幻想浄瑠璃,九十九弁々・九十九八橋のテーマ,東方輝針城　～ Double Dealing Character.
10,10,空中に沈む輝針城,５面テーマ,東方輝針城　～ Double Dealing Character.
11,11,リバースイデオロギー,５面ボス・鬼人正邪のテーマ,東方輝針城　～ Double Dealing Character.
12,12,針小棒大の天守閣,６面テーマ,東方輝針城　～ Double Dealing Character.
