,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"bosspower[17, 0]",0.203,0.095,0.114,0.363,0.045,0.035,5.0,12.0,2.44
"bosspower[17, 1]",0.22,0.091,0.099,0.382,0.044,0.034,5.0,14.0,2.82
"bosspower[17, 2]",0.193,0.057,0.095,0.292,0.028,0.021,5.0,11.0,3.09
"bosspower[17, 3]",0.192,0.139,0.054,0.443,0.069,0.053,4.0,21.0,3.16
"bosspower[17, 4]",0.192,0.072,0.118,0.324,0.033,0.026,7.0,21.0,1.88
"subpower[0, 0]",0.154,0.057,0.067,0.228,0.028,0.021,5.0,12.0,2.64
"subpower[0, 1]",0.181,0.068,0.076,0.257,0.033,0.025,5.0,11.0,2.42
"subpower[0, 2]",0.144,0.057,0.063,0.223,0.027,0.021,5.0,13.0,2.98
"subpower[0, 3]",0.189,0.063,0.093,0.285,0.031,0.023,4.0,11.0,3.18
"subpower[0, 4]",0.215,0.112,0.083,0.424,0.055,0.042,4.0,11.0,3.78
"subpower[1, 0]",0.215,0.104,0.087,0.406,0.051,0.039,4.0,12.0,3.67
"subpower[1, 1]",0.216,0.127,0.089,0.461,0.063,0.048,4.0,13.0,3.94
"subpower[1, 2]",0.179,0.069,0.081,0.277,0.033,0.025,5.0,13.0,2.97
"subpower[1, 3]",0.193,0.065,0.101,0.294,0.032,0.024,5.0,12.0,2.89
"subpower[1, 4]",0.167,0.058,0.083,0.236,0.028,0.021,5.0,13.0,2.55
"subpower[2, 0]",0.183,0.068,0.077,0.258,0.033,0.025,5.0,11.0,2.44
"subpower[2, 1]",0.144,0.056,0.085,0.234,0.027,0.021,5.0,12.0,3.08
"subpower[2, 2]",0.191,0.084,0.068,0.31,0.041,0.031,4.0,15.0,3.2
"subpower[2, 3]",0.18,0.058,0.093,0.247,0.028,0.021,5.0,22.0,2.13
"subpower[2, 4]",0.161,0.073,0.046,0.253,0.036,0.027,5.0,11.0,2.79
"subpower[3, 0]",0.161,0.06,0.077,0.247,0.029,0.022,5.0,11.0,2.96
"subpower[3, 1]",0.165,0.054,0.086,0.246,0.026,0.02,5.0,11.0,3.07
"subpower[3, 2]",0.202,0.093,0.079,0.357,0.044,0.034,5.0,26.0,2.74
"subpower[3, 3]",0.2,0.102,0.081,0.375,0.05,0.038,4.0,12.0,3.29
"subpower[3, 4]",0.183,0.068,0.088,0.296,0.032,0.024,5.0,13.0,2.45
"subpower[4, 0]",0.183,0.065,0.092,0.264,0.032,0.024,5.0,13.0,2.74
"subpower[4, 1]",0.194,0.088,0.063,0.315,0.044,0.033,4.0,11.0,3.83
"subpower[4, 2]",0.172,0.064,0.065,0.239,0.031,0.024,5.0,11.0,2.46
"subpower[4, 3]",0.158,0.05,0.084,0.229,0.024,0.019,5.0,19.0,2.77
"subpower[4, 4]",0.19,0.083,0.099,0.322,0.041,0.032,5.0,13.0,2.89
"subpower[5, 0]",0.19,0.065,0.105,0.284,0.031,0.024,5.0,21.0,2.37
"subpower[5, 1]",0.146,0.048,0.083,0.216,0.023,0.018,5.0,17.0,3.01
"subpower[5, 2]",0.168,0.06,0.068,0.231,0.029,0.022,5.0,12.0,2.37
"subpower[5, 3]",0.158,0.051,0.09,0.24,0.025,0.019,5.0,17.0,2.93
"subpower[5, 4]",0.192,0.085,0.077,0.334,0.041,0.032,4.0,18.0,3.1
"subpower[6, 0]",0.205,0.097,0.085,0.371,0.048,0.037,4.0,15.0,3.83
"subpower[6, 1]",0.142,0.049,0.09,0.23,0.024,0.018,4.0,12.0,3.75
"subpower[6, 2]",0.202,0.091,0.076,0.34,0.045,0.034,4.0,11.0,3.25
"subpower[6, 3]",0.182,0.075,0.065,0.266,0.037,0.028,4.0,11.0,3.74
"subpower[6, 4]",0.153,0.051,0.092,0.228,0.025,0.019,4.0,11.0,3.22
"subpower[7, 0]",0.208,0.101,0.082,0.367,0.05,0.038,5.0,11.0,2.91
"subpower[7, 1]",0.174,0.054,0.1,0.257,0.027,0.02,5.0,11.0,2.95
"subpower[7, 2]",0.154,0.057,0.097,0.25,0.028,0.021,5.0,15.0,3.27
"subpower[7, 3]",0.189,0.059,0.098,0.251,0.029,0.022,5.0,14.0,2.63
"subpower[7, 4]",0.136,0.06,0.065,0.235,0.029,0.022,5.0,11.0,3.07
"subpower[8, 0]",0.158,0.071,0.046,0.238,0.035,0.027,5.0,12.0,3.06
"subpower[8, 1]",0.194,0.08,0.077,0.304,0.04,0.03,4.0,11.0,3.79
"subpower[8, 2]",0.218,0.113,0.081,0.396,0.056,0.043,4.0,16.0,3.2
"subpower[8, 3]",0.145,0.06,0.076,0.244,0.029,0.022,5.0,11.0,2.86
"subpower[8, 4]",0.2,0.101,0.08,0.364,0.05,0.038,4.0,12.0,3.17
"subpower[9, 0]",0.147,0.064,0.053,0.234,0.031,0.024,5.0,18.0,2.75
"subpower[9, 1]",0.211,0.103,0.091,0.383,0.051,0.039,5.0,14.0,3.1
"subpower[9, 2]",0.159,0.054,0.086,0.244,0.026,0.02,5.0,11.0,2.75
"subpower[9, 3]",0.207,0.113,0.08,0.404,0.056,0.043,4.0,11.0,3.67
"subpower[9, 4]",0.173,0.055,0.089,0.251,0.027,0.02,4.0,14.0,3.13
"subpower[10, 0]",0.227,0.113,0.112,0.432,0.056,0.043,5.0,15.0,3.0
"subpower[10, 1]",0.204,0.087,0.097,0.348,0.043,0.033,4.0,11.0,3.69
"subpower[10, 2]",0.193,0.07,0.094,0.274,0.034,0.026,5.0,27.0,2.2
"subpower[10, 3]",0.163,0.045,0.097,0.225,0.021,0.016,5.0,17.0,2.27
"subpower[10, 4]",0.217,0.104,0.088,0.414,0.051,0.039,4.0,13.0,4.13
"subpower[11, 0]",0.179,0.053,0.102,0.258,0.026,0.019,4.0,11.0,3.46
"subpower[11, 1]",0.14,0.062,0.077,0.243,0.03,0.023,5.0,14.0,2.41
"subpower[11, 2]",0.204,0.089,0.098,0.364,0.043,0.033,4.0,13.0,3.56
"subpower[11, 3]",0.216,0.103,0.101,0.386,0.051,0.039,5.0,19.0,3.05
"subpower[11, 4]",0.116,0.083,0.016,0.231,0.041,0.031,4.0,17.0,3.56
"subpower[12, 0]",0.162,0.064,0.064,0.255,0.031,0.024,5.0,14.0,3.04
"subpower[12, 1]",0.142,0.059,0.076,0.228,0.029,0.022,5.0,25.0,3.11
"subpower[12, 2]",0.154,0.05,0.087,0.239,0.024,0.018,4.0,17.0,3.18
"subpower[12, 3]",0.179,0.064,0.088,0.263,0.032,0.024,4.0,11.0,3.62
"subpower[12, 4]",0.173,0.076,0.065,0.268,0.038,0.029,4.0,11.0,3.42
"subpower[13, 0]",0.154,0.05,0.089,0.232,0.025,0.019,4.0,11.0,3.63
"subpower[13, 1]",0.245,0.157,0.091,0.525,0.078,0.06,5.0,21.0,2.88
"subpower[13, 2]",0.214,0.102,0.091,0.384,0.05,0.038,4.0,11.0,3.35
"subpower[13, 3]",0.161,0.046,0.093,0.225,0.021,0.016,5.0,23.0,2.09
"subpower[13, 4]",0.216,0.119,0.081,0.411,0.059,0.045,4.0,18.0,3.28
"subpower[14, 0]",0.196,0.093,0.075,0.331,0.046,0.035,4.0,12.0,3.45
"subpower[14, 1]",0.159,0.053,0.081,0.231,0.024,0.018,5.0,11.0,2.17
"subpower[14, 2]",0.259,0.157,0.095,0.53,0.078,0.06,4.0,11.0,3.1
"subpower[14, 3]",0.176,0.065,0.083,0.269,0.031,0.024,5.0,24.0,2.68
"subpower[14, 4]",0.196,0.093,0.069,0.328,0.046,0.035,4.0,13.0,3.37
"subpower[15, 0]",0.184,0.073,0.075,0.269,0.036,0.027,5.0,24.0,2.49
"subpower[15, 1]",0.181,0.055,0.101,0.248,0.026,0.02,5.0,11.0,2.65
"subpower[15, 2]",0.209,0.139,0.041,0.473,0.069,0.053,4.0,14.0,4.11
"subpower[15, 3]",0.165,0.056,0.081,0.237,0.027,0.021,5.0,11.0,2.61
