,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,10回目ポイント,5回目ポイント,9回目ポイント,4回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,11回目ポイント,8回目ポイント,6回目ポイント,1回目ポイント
86,鈴瑚,851.0,362.0,679.0,313.0,339.0,,418.0,361.0,,465.0,,,,,,,,,,,
87,綿月 依姫,846.0,572.0,720.0,476.0,755.0,,898.0,853.0,,479.0,476.0,15.0,659.0,,,,609.0,524.0,610.0,256.0,
88,魅魔,810.0,795.0,735.0,488.0,958.0,,1266.0,1355.0,,622.0,571.0,525.0,893.0,44.0,68.0,19（15）,1011.0,535.0,953.0,820.0,14.0
89,レティ・ホワイトロック,773.0,531.0,643.0,413.0,604.0,,691.0,689.0,,541.0,564.0,452.0,938.0,66.0,116.0,26（21）,1082.0,532.0,1063.0,790.0,2.0
90,ルナチャイルド,637.0,570.0,532.0,441.0,490.0,,519.0,604.0,,395.0,463.0,222.0,905.0,7.0,,,562.0,338.0,962.0,370.0,
91,幻月,575.0,485.0,528.0,362.0,478.0,,490.0,472.0,,438.0,220.0,17.0,342.0,4.0,2.0,1（1）,174.0,307.0,246.0,99.0,1.0
92,清蘭,571.0,639.0,773.0,439.0,521.0,,448.0,767.0,,543.0,,,,,,,,,,,
93,スターサファイア,571.0,527.0,481.0,369.0,473.0,,513.0,624.0,,407.0,384.0,85.0,505.0,11.0,,,195.0,319.0,455.0,123.0,
94,九十九 弁々,500.0,461.0,540.0,390.0,457.0,,446.0,439.0,,582.0,430.0,,,,,,,356.0,,,
95,サニーミルク,500.0,486.0,436.0,318.0,345.0,,415.0,465.0,,355.0,373.0,169.0,535.0,6.0,,,368.0,286.0,533.0,227.0,
96,リリーホワイト,474.0,794.0,454.0,473.0,750.0,,816.0,981.0,,464.0,365.0,231.0,572.0,141.0,143.0,36（30）,455.0,307.0,527.0,290.0,
97,キスメ,458.0,228.0,308.0,192.0,178.0,,280.0,239.0,,261.0,243.0,,430.0,,,,354.0,243.0,410.0,292.0,
98,アリスの人形,452.0,290.0,379.0,201.0,401.0,,474.0,476.0,,276.0,233.0,,460.0,,,,458.0,224.0,438.0,399.0,
99,リリカ・プリズムリバー,450.0,362.0,368.0,291.0,397.0,,437.0,471.0,,345.0,294.0,252.0,397.0,42.0,45.0,27（21）,480.0,308.0,428.0,343.0,
100,九十九 八橋,450.0,242.0,483.0,289.0,310.0,,283.0,254.0,,372.0,269.0,,,,,,,268.0,,,
101,メルラン・プリズムリバー,397.0,375.0,376.0,258.0,481.0,,535.0,559.0,,365.0,246.0,215.0,427.0,58.0,62.0,17（15）,446.0,261.0,442.0,309.0,
