,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[17, 3]",0.496,0.483,0.01,1.209,0.025,0.018,426.0,438.0,1.02
"maincharpower[17, 4]",0.454,0.374,0.011,1.083,0.018,0.013,452.0,569.0,1.02
"bosspower[0, 0]",0.115,0.056,0.013,0.215,0.002,0.001,706.0,1729.0,1.01
"bosspower[0, 1]",0.143,0.07,0.019,0.268,0.003,0.002,533.0,1087.0,1.01
"bosspower[0, 2]",0.144,0.07,0.024,0.267,0.003,0.002,424.0,1019.0,1.01
"bosspower[0, 3]",0.143,0.07,0.024,0.271,0.003,0.002,493.0,937.0,1.01
"bosspower[0, 4]",0.143,0.07,0.024,0.272,0.003,0.002,496.0,883.0,1.01
"bosspower[1, 0]",0.139,0.069,0.027,0.268,0.004,0.003,195.0,346.0,1.03
"bosspower[1, 1]",0.101,0.052,0.001,0.188,0.002,0.001,1015.0,3109.0,1.0
"bosspower[1, 2]",0.142,0.069,0.026,0.272,0.003,0.002,598.0,1064.0,1.01
"bosspower[1, 3]",0.144,0.069,0.026,0.272,0.003,0.002,484.0,1071.0,1.01
"bosspower[1, 4]",0.144,0.069,0.02,0.264,0.003,0.002,474.0,1224.0,1.01
"bosspower[2, 0]",0.144,0.07,0.019,0.265,0.003,0.002,448.0,1050.0,1.01
"bosspower[2, 1]",0.103,0.051,0.012,0.197,0.002,0.001,903.0,1784.0,1.01
"bosspower[2, 2]",0.091,0.049,0.0,0.171,0.002,0.001,664.0,1878.0,1.0
"bosspower[2, 3]",0.142,0.069,0.021,0.267,0.003,0.002,617.0,1214.0,1.01
"bosspower[2, 4]",0.142,0.071,0.018,0.275,0.003,0.002,506.0,777.0,1.01
"bosspower[3, 0]",0.134,0.062,0.026,0.243,0.003,0.002,410.0,1254.0,1.02
"bosspower[3, 1]",0.141,0.07,0.02,0.266,0.003,0.002,570.0,1308.0,1.02
"bosspower[3, 2]",0.157,0.074,0.03,0.292,0.004,0.003,385.0,706.0,1.01
"bosspower[3, 3]",0.129,0.063,0.013,0.239,0.003,0.002,476.0,374.0,1.01
"bosspower[3, 4]",0.142,0.069,0.023,0.268,0.003,0.002,571.0,1111.0,1.01
"bosspower[4, 0]",0.137,0.066,0.022,0.259,0.003,0.002,570.0,1219.0,1.01
"bosspower[4, 1]",0.149,0.071,0.022,0.278,0.003,0.002,517.0,1002.0,1.01
"bosspower[4, 2]",0.144,0.07,0.021,0.274,0.003,0.002,509.0,807.0,1.01
"bosspower[4, 3]",0.17,0.082,0.034,0.323,0.004,0.003,341.0,536.0,1.02
"bosspower[4, 4]",0.14,0.068,0.023,0.263,0.003,0.002,458.0,1135.0,1.01
"bosspower[5, 0]",0.144,0.07,0.026,0.274,0.003,0.002,505.0,1134.0,1.01
"bosspower[5, 1]",0.146,0.07,0.022,0.269,0.003,0.002,487.0,1050.0,1.01
"bosspower[5, 2]",0.144,0.069,0.026,0.27,0.003,0.002,490.0,1019.0,1.01
"bosspower[5, 3]",0.142,0.069,0.027,0.273,0.003,0.002,562.0,1019.0,1.01
"bosspower[5, 4]",0.147,0.068,0.031,0.273,0.003,0.002,476.0,747.0,1.01
"bosspower[6, 0]",0.144,0.07,0.023,0.271,0.003,0.002,455.0,1201.0,1.02
"bosspower[6, 1]",0.16,0.077,0.03,0.306,0.004,0.003,377.0,707.0,1.02
"bosspower[6, 2]",0.153,0.072,0.025,0.283,0.003,0.002,429.0,802.0,1.01
"bosspower[6, 3]",0.137,0.064,0.018,0.25,0.002,0.002,609.0,1226.0,1.01
"bosspower[6, 4]",0.142,0.069,0.021,0.268,0.003,0.002,515.0,1002.0,1.01
"bosspower[7, 0]",0.143,0.069,0.027,0.272,0.003,0.002,560.0,1078.0,1.01
"bosspower[7, 1]",0.145,0.071,0.02,0.27,0.004,0.003,281.0,903.0,1.02
"bosspower[7, 2]",0.161,0.078,0.029,0.303,0.004,0.003,396.0,825.0,1.02
"bosspower[7, 3]",0.155,0.077,0.031,0.301,0.004,0.003,356.0,751.0,1.02
"bosspower[7, 4]",0.136,0.065,0.026,0.256,0.003,0.002,426.0,1118.0,1.01
"bosspower[8, 0]",0.142,0.071,0.024,0.28,0.003,0.002,451.0,808.0,1.02
"bosspower[8, 1]",0.153,0.075,0.017,0.28,0.004,0.003,328.0,471.0,1.02
"bosspower[8, 2]",0.143,0.07,0.019,0.266,0.003,0.002,513.0,1010.0,1.01
"bosspower[8, 3]",0.142,0.067,0.027,0.263,0.003,0.002,522.0,1070.0,1.01
"bosspower[8, 4]",0.15,0.072,0.031,0.288,0.003,0.002,453.0,802.0,1.01
"bosspower[9, 0]",0.141,0.069,0.02,0.265,0.003,0.002,500.0,523.0,1.01
"bosspower[9, 1]",0.138,0.064,0.023,0.253,0.003,0.002,558.0,1091.0,1.01
"bosspower[9, 2]",0.142,0.067,0.027,0.266,0.003,0.002,528.0,1076.0,1.01
"bosspower[9, 3]",0.144,0.07,0.019,0.266,0.003,0.002,530.0,1253.0,1.02
"bosspower[9, 4]",0.146,0.069,0.033,0.278,0.003,0.002,430.0,942.0,1.01
"bosspower[10, 0]",0.143,0.071,0.027,0.273,0.003,0.002,493.0,1103.0,1.01
"bosspower[10, 1]",0.143,0.071,0.021,0.274,0.003,0.002,518.0,768.0,1.01
"bosspower[10, 2]",0.141,0.065,0.026,0.261,0.003,0.002,515.0,1038.0,1.01
"bosspower[10, 3]",0.14,0.066,0.03,0.265,0.003,0.002,577.0,1132.0,1.01
"bosspower[10, 4]",0.143,0.069,0.02,0.267,0.003,0.002,529.0,1121.0,1.01
"bosspower[11, 0]",0.141,0.071,0.026,0.275,0.003,0.002,497.0,1011.0,1.01
"bosspower[11, 1]",0.149,0.074,0.026,0.287,0.004,0.003,406.0,946.0,1.02
"bosspower[11, 2]",0.141,0.07,0.019,0.268,0.003,0.002,600.0,1238.0,1.01
"bosspower[11, 3]",0.137,0.063,0.029,0.256,0.003,0.002,561.0,1048.0,1.01
"bosspower[11, 4]",0.133,0.062,0.021,0.248,0.002,0.002,657.0,1058.0,1.01
"bosspower[12, 0]",0.145,0.069,0.03,0.274,0.003,0.002,451.0,1033.0,1.02
"bosspower[12, 1]",0.142,0.071,0.029,0.279,0.003,0.002,481.0,1188.0,1.01
"bosspower[12, 2]",0.152,0.073,0.027,0.285,0.003,0.002,401.0,828.0,1.01
"bosspower[12, 3]",0.14,0.07,0.021,0.274,0.003,0.002,514.0,880.0,1.02
"bosspower[12, 4]",0.138,0.063,0.028,0.254,0.003,0.002,508.0,981.0,1.01
"bosspower[13, 0]",0.144,0.071,0.02,0.268,0.003,0.002,425.0,1024.0,1.02
"bosspower[13, 1]",0.161,0.078,0.029,0.303,0.004,0.003,365.0,717.0,1.02
"bosspower[13, 2]",0.144,0.072,0.02,0.277,0.004,0.003,409.0,714.0,1.02
"bosspower[13, 3]",0.144,0.069,0.026,0.268,0.003,0.002,377.0,1112.0,1.02
"bosspower[13, 4]",0.143,0.071,0.025,0.276,0.003,0.002,387.0,480.0,1.01
"bosspower[14, 0]",0.144,0.069,0.024,0.269,0.003,0.002,487.0,1066.0,1.01
"bosspower[14, 1]",0.144,0.07,0.022,0.272,0.003,0.002,484.0,1203.0,1.01
"bosspower[14, 2]",0.152,0.072,0.03,0.287,0.003,0.002,390.0,922.0,1.02
"bosspower[14, 3]",0.143,0.069,0.026,0.271,0.003,0.002,535.0,556.0,1.01
"bosspower[14, 4]",0.142,0.068,0.028,0.269,0.003,0.002,521.0,936.0,1.01
"bosspower[15, 0]",0.141,0.071,0.019,0.277,0.003,0.002,630.0,745.0,1.01
"bosspower[15, 1]",0.162,0.079,0.032,0.307,0.004,0.003,364.0,743.0,1.02
"bosspower[15, 2]",0.137,0.072,0.027,0.275,0.004,0.003,212.0,375.0,1.02
"bosspower[15, 3]",0.133,0.063,0.025,0.245,0.003,0.002,557.0,1105.0,1.01
"bosspower[15, 4]",0.141,0.069,0.026,0.271,0.003,0.002,589.0,1188.0,1.01
"bosspower[16, 0]",0.142,0.07,0.017,0.268,0.003,0.002,587.0,1197.0,1.01
"bosspower[16, 1]",0.155,0.074,0.031,0.289,0.003,0.002,389.0,885.0,1.02
"bosspower[16, 2]",0.145,0.068,0.026,0.268,0.003,0.002,365.0,994.0,1.02
"bosspower[16, 3]",0.141,0.07,0.019,0.267,0.003,0.002,536.0,956.0,1.01
"bosspower[16, 4]",0.132,0.062,0.026,0.249,0.002,0.002,601.0,1293.0,1.01
"bosspower[17, 0]",0.142,0.069,0.025,0.271,0.003,0.002,567.0,1181.0,1.01
"bosspower[17, 1]",0.142,0.07,0.02,0.267,0.003,0.002,582.0,1308.0,1.01
"bosspower[17, 2]",0.129,0.061,0.019,0.24,0.003,0.002,551.0,740.0,1.01
"bosspower[17, 3]",0.124,0.059,0.014,0.229,0.002,0.001,747.0,1628.0,1.01
"bosspower[17, 4]",0.143,0.07,0.018,0.265,0.003,0.002,570.0,1131.0,1.01
"subpower[0, 0]",0.627,0.227,0.195,1.041,0.007,0.005,896.0,1304.0,1.01
