,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
indivisual[128],0.765,0.161,0.472,1.068,0.001,0.001,13106.0,5282.0,1.0
indivisual[129],0.206,0.053,0.115,0.311,0.001,0.0,9262.0,5737.0,1.0
indivisual[130],0.039,0.015,0.01,0.067,0.0,0.0,2537.0,2612.0,1.0
indivisual[131],0.169,0.045,0.09,0.255,0.0,0.0,9306.0,5185.0,1.0
indivisual[132],0.212,0.054,0.117,0.314,0.001,0.0,10064.0,5073.0,1.0
indivisual[133],13.252,0.933,11.494,14.985,0.011,0.007,7752.0,5615.0,1.0
indivisual[134],4.54,0.51,3.603,5.505,0.005,0.003,12003.0,5544.0,1.0
indivisual[135],16.336,1.049,14.426,18.339,0.012,0.008,8233.0,5828.0,1.0
indivisual[136],10.283,0.825,8.721,11.791,0.008,0.006,9691.0,5216.0,1.0
indivisual[137],5.003,0.539,4.002,6.022,0.005,0.004,10246.0,5844.0,1.0
indivisual[138],9.752,0.791,8.302,11.278,0.008,0.006,9402.0,6149.0,1.0
indivisual[139],4.683,0.516,3.711,5.64,0.005,0.003,11211.0,5525.0,1.0
indivisual[140],3.659,0.462,2.818,4.545,0.004,0.003,11296.0,5068.0,1.0
indivisual[141],3.437,0.433,2.607,4.226,0.004,0.003,11018.0,5998.0,1.0
indivisual[142],2.135,0.336,1.517,2.76,0.003,0.002,10849.0,5116.0,1.0
indivisual[143],5.158,0.554,4.13,6.204,0.005,0.004,12318.0,5447.0,1.0
indivisual[144],1.99,0.319,1.394,2.593,0.003,0.002,10225.0,5171.0,1.0
indivisual[145],1.779,0.294,1.22,2.32,0.003,0.002,12326.0,5089.0,1.0
indivisual[146],1.542,0.265,1.074,2.08,0.002,0.002,11867.0,6227.0,1.0
indivisual[147],1.469,0.26,0.989,1.959,0.002,0.002,11121.0,4880.0,1.0
indivisual[148],2.181,0.338,1.555,2.812,0.003,0.002,11791.0,5922.0,1.0
indivisual[149],2.714,0.384,2.003,3.416,0.004,0.002,11520.0,5402.0,1.0
indivisual[150],1.054,0.205,0.674,1.436,0.002,0.001,10890.0,5673.0,1.0
indivisual[151],0.049,0.013,0.025,0.075,0.0,0.0,13662.0,5289.0,1.0
indivisual[152],1.022,0.199,0.638,1.384,0.002,0.001,10354.0,5550.0,1.0
indivisual[153],0.799,0.165,0.493,1.103,0.001,0.001,12141.0,5472.0,1.0
indivisual[154],0.889,0.181,0.562,1.235,0.002,0.001,9915.0,5080.0,1.0
indivisual[155],0.759,0.155,0.472,1.048,0.001,0.001,13943.0,5161.0,1.0
indivisual[156],0.418,0.098,0.24,0.604,0.001,0.001,10949.0,5221.0,1.0
indivisual[157],0.541,0.123,0.316,0.77,0.001,0.001,12301.0,5869.0,1.0
indivisual[158],0.39,0.098,0.214,0.576,0.001,0.001,14064.0,5053.0,1.0
indivisual[159],0.421,0.116,0.22,0.655,0.002,0.001,5107.0,3844.0,1.0
indivisual[160],0.527,0.117,0.307,0.739,0.001,0.001,11220.0,4906.0,1.0
indivisual[161],0.402,0.095,0.232,0.586,0.001,0.001,12242.0,5409.0,1.0
indivisual[162],0.045,0.017,0.013,0.077,0.0,0.0,3391.0,2245.0,1.0
indivisual[163],0.155,0.042,0.079,0.233,0.0,0.0,7890.0,4645.0,1.0
indivisual[164],0.48,0.109,0.289,0.686,0.001,0.001,12571.0,4385.0,1.0
indivisual[165],0.356,0.083,0.204,0.513,0.001,0.001,11771.0,5854.0,1.0
indivisual[166],0.207,0.053,0.113,0.307,0.001,0.0,9315.0,4723.0,1.0
indivisual[167],0.375,0.091,0.213,0.549,0.001,0.001,12611.0,4854.0,1.0
indivisual[168],0.298,0.076,0.155,0.438,0.001,0.001,10104.0,4950.0,1.0
indivisual[169],0.296,0.075,0.157,0.436,0.001,0.001,9964.0,5654.0,1.0
indivisual[170],0.267,0.067,0.142,0.392,0.001,0.0,10610.0,5216.0,1.0
indivisual[171],0.253,0.063,0.135,0.367,0.001,0.0,11902.0,5616.0,1.0
indivisual[172],0.161,0.043,0.082,0.241,0.0,0.0,9201.0,4938.0,1.0
indivisual[173],0.247,0.064,0.136,0.368,0.001,0.0,10594.0,5124.0,1.0
indivisual[174],0.119,0.034,0.058,0.184,0.0,0.0,6694.0,4722.0,1.0
indivisual[175],0.015,0.01,0.0,0.032,0.0,0.0,2720.0,2881.0,1.0
indivisual[176],0.063,0.021,0.025,0.104,0.0,0.0,3995.0,3497.0,1.0
indivisual[177],0.154,0.043,0.077,0.236,0.0,0.0,7086.0,4680.0,1.0
indivisual[178],0.083,0.027,0.033,0.132,0.0,0.0,6557.0,3996.0,1.0
indivisual[179],9.2,0.788,7.673,10.642,0.008,0.006,9632.0,5457.0,1.0
indivisual[180],6.295,0.627,5.168,7.525,0.006,0.004,11410.0,6268.0,1.0
indivisual[181],3.112,0.434,2.265,3.896,0.004,0.003,12163.0,5686.0,1.0
indivisual[182],3.52,0.454,2.663,4.356,0.004,0.003,10041.0,5029.0,1.0
indivisual[183],11.879,0.902,10.069,13.463,0.01,0.007,8614.0,5267.0,1.0
indivisual[184],2.796,0.39,2.102,3.555,0.004,0.003,11889.0,5520.0,1.0
indivisual[185],3.082,0.427,2.309,3.893,0.004,0.003,10226.0,5048.0,1.0
indivisual[186],2.707,0.382,1.979,3.418,0.004,0.003,10324.0,4741.0,1.0
indivisual[187],4.35,0.52,3.395,5.352,0.005,0.003,11884.0,5143.0,1.0
indivisual[188],7.105,0.687,5.874,8.45,0.007,0.005,9934.0,5623.0,1.0
indivisual[189],1.344,0.255,0.894,1.845,0.002,0.002,11983.0,5200.0,1.0
indivisual[190],3.222,0.421,2.436,4.003,0.004,0.003,12304.0,4390.0,1.0
indivisual[191],1.834,0.305,1.277,2.416,0.003,0.002,10585.0,5190.0,1.0
indivisual[192],1.944,0.33,1.357,2.592,0.003,0.002,11288.0,4696.0,1.0
indivisual[193],1.104,0.222,0.692,1.52,0.002,0.001,11541.0,4252.0,1.0
indivisual[194],1.781,0.301,1.242,2.358,0.003,0.002,11963.0,6003.0,1.0
indivisual[195],0.921,0.199,0.55,1.293,0.002,0.001,10917.0,5128.0,1.0
indivisual[196],0.507,0.115,0.29,0.714,0.001,0.001,12627.0,5842.0,1.0
indivisual[197],0.042,0.017,0.01,0.074,0.0,0.0,3875.0,2762.0,1.0
indivisual[198],0.616,0.141,0.361,0.88,0.001,0.001,10089.0,5079.0,1.0
indivisual[199],0.692,0.147,0.421,0.964,0.001,0.001,9836.0,5407.0,1.0
indivisual[200],0.679,0.149,0.408,0.957,0.001,0.001,10320.0,5072.0,1.0
indivisual[201],0.402,0.105,0.216,0.598,0.001,0.001,11691.0,5345.0,1.0
indivisual[202],0.377,0.097,0.198,0.557,0.001,0.001,10615.0,5293.0,1.0
indivisual[203],0.703,0.152,0.428,0.996,0.001,0.001,11753.0,5275.0,1.0
indivisual[204],0.498,0.118,0.288,0.717,0.001,0.001,12449.0,5866.0,1.0
indivisual[205],0.321,0.087,0.171,0.492,0.001,0.001,11641.0,5464.0,1.0
indivisual[206],0.321,0.079,0.173,0.47,0.001,0.001,10251.0,5265.0,1.0
indivisual[207],0.28,0.069,0.148,0.406,0.001,0.0,11346.0,5844.0,1.0
indivisual[208],0.374,0.092,0.2,0.542,0.001,0.001,10903.0,5177.0,1.0
indivisual[209],0.344,0.086,0.196,0.518,0.001,0.001,9882.0,5174.0,1.0
indivisual[210],0.343,0.086,0.191,0.508,0.001,0.001,10735.0,5298.0,1.0
indivisual[211],0.314,0.078,0.175,0.464,0.001,0.0,14002.0,5559.0,1.0
indivisual[212],0.278,0.07,0.151,0.411,0.001,0.0,12833.0,5316.0,1.0
indivisual[213],0.251,0.064,0.138,0.371,0.001,0.0,11179.0,4829.0,1.0
indivisual[214],0.257,0.064,0.141,0.376,0.001,0.0,11739.0,5627.0,1.0
indivisual[215],0.255,0.065,0.143,0.38,0.001,0.0,10948.0,5537.0,1.0
indivisual[216],0.177,0.048,0.09,0.268,0.001,0.0,7946.0,4523.0,1.0
indivisual[217],0.158,0.045,0.077,0.243,0.0,0.0,8038.0,4614.0,1.0
indivisual[218],0.133,0.061,0.007,0.232,0.001,0.001,2185.0,2088.0,1.0
indivisual[219],0.198,0.052,0.104,0.296,0.0,0.0,10724.0,5042.0,1.0
indivisual[220],0.309,0.081,0.164,0.464,0.001,0.001,12995.0,5533.0,1.0
indivisual[221],0.33,0.086,0.181,0.496,0.001,0.001,11442.0,5028.0,1.0
indivisual[222],0.307,0.078,0.163,0.455,0.001,0.001,10442.0,5161.0,1.0
indivisual[223],0.156,0.041,0.08,0.229,0.0,0.0,11075.0,5047.0,1.0
indivisual[224],0.088,0.024,0.044,0.133,0.0,0.0,11345.0,4919.0,1.0
indivisual[225],0.249,0.068,0.128,0.379,0.001,0.0,11955.0,5274.0,1.0
indivisual[226],0.106,0.032,0.052,0.17,0.0,0.0,6488.0,4864.0,1.0
indivisual[227],0.076,0.025,0.031,0.123,0.0,0.0,4557.0,3717.0,1.0
indivisual[228],0.155,0.044,0.077,0.239,0.0,0.0,9271.0,4631.0,1.0
indivisual[229],0.244,0.065,0.123,0.363,0.001,0.0,11257.0,5900.0,1.0
indivisual[230],0.364,0.092,0.203,0.541,0.001,0.001,9847.0,4761.0,1.0
indivisual[231],0.36,0.092,0.192,0.529,0.001,0.001,12519.0,5528.0,1.0
indivisual[232],0.052,0.014,0.027,0.079,0.0,0.0,12161.0,6103.0,1.0
indivisual[233],0.152,0.04,0.079,0.226,0.0,0.0,12316.0,5648.0,1.0
indivisual[234],0.143,0.042,0.066,0.221,0.0,0.0,8463.0,4829.0,1.0
indivisual[235],0.076,0.025,0.031,0.123,0.0,0.0,4407.0,4016.0,1.0
indivisual[236],0.104,0.032,0.048,0.165,0.0,0.0,6622.0,4104.0,1.0
indivisual[237],12.275,0.964,10.481,14.135,0.01,0.007,8664.0,5365.0,1.0
indivisual[238],9.974,0.856,8.42,11.612,0.009,0.006,8579.0,5252.0,1.0
indivisual[239],15.721,1.082,13.599,17.676,0.013,0.009,7233.0,5899.0,1.0
indivisual[240],6.318,0.648,5.181,7.606,0.006,0.005,10020.0,5181.0,1.0
indivisual[241],4.673,0.564,3.611,5.741,0.005,0.004,11402.0,5530.0,1.0
indivisual[242],7.649,0.737,6.263,9.033,0.007,0.005,10642.0,5426.0,1.0
indivisual[243],6.015,0.644,4.778,7.183,0.007,0.005,8644.0,6079.0,1.0
indivisual[244],5.731,0.636,4.498,6.882,0.006,0.004,10982.0,5507.0,1.0
indivisual[245],5.928,0.637,4.755,7.144,0.006,0.004,11642.0,4141.0,1.0
indivisual[246],4.429,0.557,3.362,5.449,0.005,0.004,11438.0,5665.0,1.0
indivisual[247],2.9,0.432,2.081,3.696,0.004,0.003,11358.0,5418.0,1.0
indivisual[248],4.375,0.54,3.386,5.393,0.005,0.003,12699.0,6200.0,1.0
indivisual[249],5.344,0.602,4.214,6.465,0.006,0.004,10757.0,4999.0,1.0
indivisual[250],4.336,0.534,3.309,5.315,0.005,0.004,10674.0,5857.0,1.0
indivisual[251],1.559,0.297,1.0,2.109,0.003,0.002,9824.0,5258.0,1.0
