,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[4, 14]",0.263,0.072,0.126,0.395,0.002,0.001,2051.0,3611.0,1.0
"inttitlepow[4, 15]",0.262,0.073,0.123,0.402,0.002,0.001,1827.0,2853.0,1.0
"inttitlepow[4, 16]",0.262,0.072,0.116,0.387,0.002,0.001,2050.0,2833.0,1.0
"inttitlepow[4, 17]",0.262,0.074,0.123,0.4,0.002,0.001,1470.0,4074.0,1.0
"inttitlepow[5, 0]",0.261,0.074,0.122,0.399,0.002,0.001,2011.0,3178.0,1.0
"inttitlepow[5, 1]",0.351,0.038,0.28,0.42,0.002,0.002,232.0,1020.0,1.02
"inttitlepow[5, 2]",0.376,0.04,0.301,0.449,0.003,0.002,219.0,878.0,1.02
"inttitlepow[5, 3]",0.307,0.033,0.247,0.37,0.002,0.002,214.0,1042.0,1.03
"inttitlepow[5, 4]",0.297,0.033,0.238,0.359,0.002,0.002,220.0,986.0,1.03
"inttitlepow[5, 5]",0.259,0.029,0.209,0.315,0.002,0.001,229.0,878.0,1.02
"inttitlepow[5, 6]",0.281,0.031,0.222,0.336,0.002,0.001,226.0,810.0,1.02
"inttitlepow[5, 7]",0.272,0.03,0.217,0.329,0.002,0.001,226.0,942.0,1.02
"inttitlepow[5, 8]",0.261,0.029,0.208,0.314,0.002,0.001,234.0,1008.0,1.02
"inttitlepow[5, 9]",0.248,0.027,0.196,0.298,0.002,0.001,228.0,962.0,1.02
"inttitlepow[5, 10]",0.235,0.027,0.186,0.284,0.002,0.001,250.0,1000.0,1.02
"inttitlepow[5, 11]",0.215,0.024,0.171,0.262,0.002,0.001,246.0,1071.0,1.02
"inttitlepow[5, 12]",0.193,0.023,0.15,0.233,0.001,0.001,251.0,1221.0,1.02
"inttitlepow[5, 13]",0.262,0.073,0.128,0.401,0.002,0.001,1691.0,2968.0,1.0
"inttitlepow[5, 14]",0.261,0.075,0.125,0.403,0.002,0.001,1912.0,2957.0,1.0
"inttitlepow[5, 15]",0.26,0.073,0.127,0.398,0.002,0.001,1696.0,3439.0,1.01
"inttitlepow[5, 16]",0.261,0.074,0.124,0.406,0.002,0.001,1982.0,3024.0,1.0
"inttitlepow[5, 17]",0.261,0.073,0.131,0.401,0.002,0.001,1955.0,3635.0,1.0
"inttitlepow[6, 0]",0.263,0.072,0.126,0.398,0.002,0.001,1788.0,3163.0,1.0
"inttitlepow[6, 1]",0.262,0.074,0.124,0.4,0.002,0.001,2074.0,3047.0,1.0
"inttitlepow[6, 2]",0.261,0.073,0.133,0.408,0.002,0.001,2273.0,3862.0,1.0
"inttitlepow[6, 3]",0.262,0.071,0.129,0.394,0.002,0.001,1549.0,2462.0,1.0
"inttitlepow[6, 4]",0.262,0.073,0.129,0.405,0.002,0.001,1746.0,2960.0,1.0
"inttitlepow[6, 5]",0.261,0.074,0.124,0.402,0.002,0.001,1701.0,2568.0,1.0
"inttitlepow[6, 6]",0.262,0.071,0.132,0.395,0.002,0.001,2084.0,3947.0,1.0
"inttitlepow[6, 7]",0.263,0.073,0.124,0.395,0.002,0.001,2313.0,3023.0,1.0
"inttitlepow[6, 8]",0.263,0.075,0.123,0.402,0.002,0.001,1849.0,2019.0,1.0
"inttitlepow[6, 9]",0.262,0.073,0.125,0.401,0.002,0.001,1460.0,2987.0,1.0
"inttitlepow[6, 10]",0.262,0.072,0.128,0.397,0.001,0.001,2598.0,4199.0,1.0
"inttitlepow[6, 11]",0.261,0.073,0.128,0.402,0.002,0.001,2178.0,2426.0,1.0
"inttitlepow[6, 12]",0.261,0.075,0.126,0.407,0.002,0.001,1905.0,1474.0,1.0
"inttitlepow[6, 13]",0.261,0.072,0.123,0.39,0.001,0.001,2598.0,3815.0,1.0
"inttitlepow[6, 14]",0.262,0.074,0.126,0.405,0.002,0.001,1897.0,2789.0,1.0
"inttitlepow[6, 15]",0.261,0.074,0.126,0.403,0.002,0.001,1522.0,1901.0,1.0
"inttitlepow[6, 16]",0.263,0.072,0.125,0.392,0.002,0.001,2125.0,2313.0,1.01
"inttitlepow[6, 17]",0.262,0.073,0.123,0.397,0.002,0.001,2255.0,3694.0,1.0
"inttitlepow[7, 0]",0.261,0.071,0.132,0.396,0.002,0.001,1695.0,3639.0,1.0
"inttitlepow[7, 1]",0.335,0.038,0.266,0.407,0.002,0.002,310.0,1481.0,1.02
"inttitlepow[7, 2]",0.309,0.035,0.242,0.374,0.002,0.001,337.0,1271.0,1.01
"inttitlepow[7, 3]",0.263,0.031,0.209,0.323,0.002,0.001,333.0,1444.0,1.01
"inttitlepow[7, 4]",0.286,0.033,0.229,0.349,0.002,0.001,333.0,1227.0,1.01
"inttitlepow[7, 5]",0.277,0.032,0.216,0.335,0.002,0.001,350.0,1496.0,1.01
"inttitlepow[7, 6]",0.278,0.032,0.221,0.338,0.002,0.001,328.0,1331.0,1.01
"inttitlepow[7, 7]",0.251,0.03,0.196,0.307,0.002,0.001,353.0,1252.0,1.01
"inttitlepow[7, 8]",0.257,0.03,0.2,0.313,0.002,0.001,369.0,1492.0,1.01
"inttitlepow[7, 9]",0.243,0.029,0.192,0.299,0.002,0.001,359.0,1426.0,1.01
"inttitlepow[7, 10]",0.216,0.026,0.169,0.265,0.001,0.001,386.0,1447.0,1.01
"inttitlepow[7, 11]",0.262,0.073,0.13,0.403,0.002,0.001,2088.0,3460.0,1.0
"inttitlepow[7, 12]",0.26,0.075,0.118,0.401,0.002,0.001,1946.0,2642.0,1.0
"inttitlepow[7, 13]",0.26,0.075,0.121,0.402,0.002,0.001,1977.0,2654.0,1.0
"inttitlepow[7, 14]",0.262,0.072,0.122,0.394,0.002,0.001,1983.0,3204.0,1.0
"inttitlepow[7, 15]",0.261,0.075,0.118,0.399,0.002,0.001,2297.0,3274.0,1.0
"inttitlepow[7, 16]",0.261,0.073,0.131,0.4,0.002,0.001,2227.0,4001.0,1.0
"inttitlepow[7, 17]",0.261,0.074,0.123,0.399,0.002,0.001,1399.0,2247.0,1.0
"inttitlepow[8, 0]",0.261,0.073,0.128,0.397,0.001,0.001,2861.0,3791.0,1.0
"inttitlepow[8, 1]",0.324,0.036,0.259,0.394,0.002,0.002,289.0,854.0,1.02
"inttitlepow[8, 2]",0.309,0.035,0.243,0.373,0.002,0.001,294.0,1002.0,1.02
"inttitlepow[8, 3]",0.308,0.035,0.243,0.372,0.002,0.001,294.0,805.0,1.02
"inttitlepow[8, 4]",0.296,0.033,0.238,0.361,0.002,0.001,297.0,802.0,1.02
"inttitlepow[8, 5]",0.306,0.034,0.244,0.372,0.002,0.001,292.0,845.0,1.02
"inttitlepow[8, 6]",0.284,0.032,0.227,0.348,0.002,0.001,294.0,815.0,1.01
"inttitlepow[8, 7]",0.26,0.03,0.206,0.318,0.002,0.001,319.0,947.0,1.01
"inttitlepow[8, 8]",0.231,0.027,0.182,0.283,0.002,0.001,325.0,1055.0,1.01
"inttitlepow[8, 9]",0.179,0.022,0.14,0.223,0.001,0.001,368.0,1149.0,1.01
"inttitlepow[8, 10]",0.262,0.073,0.124,0.401,0.002,0.001,2286.0,3698.0,1.0
"inttitlepow[8, 11]",0.262,0.074,0.13,0.406,0.002,0.001,1445.0,2898.0,1.0
"inttitlepow[8, 12]",0.262,0.073,0.128,0.404,0.002,0.001,1679.0,2569.0,1.0
"inttitlepow[8, 13]",0.263,0.071,0.126,0.394,0.002,0.001,1893.0,3537.0,1.0
"inttitlepow[8, 14]",0.261,0.074,0.117,0.396,0.002,0.001,2324.0,3079.0,1.0
"inttitlepow[8, 15]",0.263,0.073,0.137,0.41,0.001,0.001,2498.0,2657.0,1.0
"inttitlepow[8, 16]",0.261,0.073,0.13,0.406,0.001,0.001,2904.0,3653.0,1.0
"inttitlepow[8, 17]",0.261,0.074,0.116,0.393,0.002,0.001,1277.0,2576.0,1.0
"inttitlepow[9, 0]",0.262,0.073,0.128,0.401,0.002,0.001,1848.0,2994.0,1.0
"inttitlepow[9, 1]",0.26,0.074,0.119,0.394,0.001,0.001,2501.0,3034.0,1.0
"inttitlepow[9, 2]",0.261,0.074,0.125,0.402,0.002,0.001,2087.0,3040.0,1.0
"inttitlepow[9, 3]",0.261,0.074,0.13,0.406,0.002,0.001,2129.0,2627.0,1.0
"inttitlepow[9, 4]",0.263,0.072,0.127,0.396,0.002,0.001,1828.0,3813.0,1.0
"inttitlepow[9, 5]",0.261,0.074,0.12,0.399,0.001,0.001,2476.0,3028.0,1.0
"inttitlepow[9, 6]",0.262,0.072,0.129,0.401,0.002,0.001,2241.0,3267.0,1.0
"inttitlepow[9, 7]",0.26,0.075,0.119,0.403,0.002,0.001,1858.0,2894.0,1.0
