,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
218,大神神話伝,534.0,479.0,381.0,,585.0,328.0,781.0,,619.0,,,,496.0,337.0,622.0,,,505.0,496.0,434.0,
219,大空魔術,205.0,189.0,109.0,38.0,201.0,116.0,161.0,,149.0,,,133.0,178.0,113.0,146.0,157.0,84.0,171.0,178.0,151.0,
220,天使伝説,23.0,25.0,8.0,1.0,24.0,20.0,18.0,,35.0,,,10.0,56.0,11.0,36.0,17.0,4.0,28.0,56.0,27.0,
221,天狗が見ている,96.0,81.0,52.0,47.0,93.0,61.0,62.0,,85.0,,,78.0,62.0,52.0,80.0,76.0,82.0,67.0,62.0,65.0,
222,天狗の手帖,88.0,73.0,31.0,24.0,72.0,57.0,34.0,,70.0,,,32.0,67.0,27.0,65.0,30.0,28.0,72.0,67.0,67.0,
223,天空のグリニッジ,2485.0,1538.0,1617.0,180.0,2078.0,1061.0,1859.0,,1261.0,,,1222.0,1108.0,1562.0,1322.0,1370.0,812.0,1147.0,1108.0,1457.0,
224,天空の花の都,908.0,950.0,438.0,233.0,790.0,659.0,684.0,126.0,876.0,131.0,87.0,551.0,1125.0,545.0,958.0,599.0,420.0,1161.0,1125.0,691.0,
225,天空アーミー,36.0,7.0,17.0,6.0,25.0,7.0,38.0,4.0,23.0,1.0,6.0,26.0,22.0,12.0,42.0,36.0,20.0,22.0,22.0,24.0,
226,天衣無縫,373.0,362.0,291.0,,395.0,347.0,552.0,,380.0,,,460.0,536.0,260.0,688.0,563.0,400.0,534.0,536.0,525.0,
227,天鳥船神社,49.0,51.0,42.0,,52.0,29.0,,,69.0,,,,48.0,39.0,56.0,,,54.0,48.0,49.0,
228,天鳥船神社の結界,61.0,56.0,50.0,,49.0,26.0,,,61.0,,,,76.0,29.0,71.0,,,83.0,76.0,45.0,
229,天鵞絨少女戦,41.0,38.0,33.0,15.0,42.0,34.0,46.0,8.0,34.0,6.0,4.0,36.0,30.0,30.0,35.0,43.0,21.0,21.0,30.0,30.0,
230,妖々夢,360.0,331.0,108.0,36.0,315.0,210.0,170.0,23.0,533.0,30.0,15.0,123.0,676.0,133.0,727.0,131.0,86.0,616.0,676.0,243.0,1.0
231,妖々跋扈,874.0,533.0,452.0,153.0,769.0,431.0,731.0,67.0,574.0,108.0,65.0,697.0,771.0,543.0,715.0,719.0,498.0,1034.0,771.0,544.0,
232,妖怪の山,2009.0,1449.0,1485.0,651.0,1662.0,1074.0,2355.0,,1394.0,,,1268.0,1597.0,1171.0,1500.0,2193.0,1138.0,1475.0,1597.0,1304.0,
233,妖怪モダンコロニー,162.0,107.0,129.0,,135.0,97.0,278.0,,121.0,,,,77.0,95.0,122.0,416.0,,97.0,77.0,99.0,
234,妖怪宇宙旅行,148.0,99.0,96.0,,104.0,65.0,114.0,,60.0,,,97.0,69.0,83.0,82.0,93.0,91.0,77.0,69.0,86.0,
235,妖怪寺,14.0,3.0,4.0,,9.0,7.0,8.0,,6.0,,,11.0,6.0,5.0,11.0,18.0,,9.0,6.0,7.0,
236,妖怪寺へようこそ,75.0,50.0,52.0,,55.0,44.0,175.0,,58.0,,,,49.0,42.0,55.0,,,58.0,49.0,46.0,
237,妖怪裏参道,234.0,168.0,142.0,,194.0,136.0,273.0,,157.0,,,,131.0,159.0,170.0,,,138.0,131.0,176.0,
238,妖精大戦争,526.0,329.0,316.0,,388.0,256.0,607.0,,237.0,,,,223.0,231.0,254.0,801.0,,235.0,223.0,333.0,
