,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
43,Selene's light,19.0,13.0,8.0,4.0,12.0,8.0,9.0,2.0,9.0,1.0,,5.0,14.0,10.0,24.0,5.0,5.0,15.0,14.0,9.0,
44,She's in a temper!!,26.0,19.0,12.0,,25.0,14.0,15.0,2.0,20.0,,,9.0,34.0,10.0,32.0,15.0,9.0,34.0,34.0,19.0,
45,Strawberry Crisis!!,682.0,422.0,458.0,80.0,541.0,334.0,682.0,25.0,446.0,8.0,4.0,409.0,341.0,404.0,522.0,574.0,315.0,466.0,341.0,409.0,
46,Tabula rasa,192.0,165.0,122.0,51.0,169.0,123.0,156.0,19.0,138.0,21.0,10.0,145.0,158.0,122.0,142.0,157.0,147.0,174.0,158.0,127.0,3.0
47,The Positive and Negative,22.0,29.0,12.0,1.0,39.0,17.0,9.0,,22.0,,,10.0,48.0,21.0,33.0,9.0,4.0,31.0,48.0,20.0,
48,U.N.オーエンは彼女なのか？,12088.0,8568.0,4771.0,3141.0,9513.0,5529.0,6742.0,864.0,11848.0,972.0,357.0,5559.0,17483.0,5820.0,18520.0,5777.0,4489.0,16196.0,17483.0,7409.0,77.0
49,Witch of Love Potion,195.0,144.0,92.0,34.0,183.0,106.0,111.0,29.0,147.0,43.0,16.0,107.0,245.0,103.0,217.0,101.0,71.0,206.0,245.0,146.0,4.0
50,Witching Dream,72.0,42.0,28.0,6.0,55.0,51.0,46.0,7.0,36.0,1.0,2.0,17.0,57.0,42.0,55.0,30.0,20.0,49.0,57.0,37.0,3.0
51,the Grimoire of Alice,1086.0,618.0,791.0,244.0,870.0,517.0,1547.0,87.0,558.0,56.0,23.0,1947.0,570.0,670.0,611.0,1499.0,715.0,543.0,570.0,699.0,7.0
52,the Last Judgement,76.0,84.0,58.0,23.0,84.0,55.0,86.0,12.0,61.0,16.0,7.0,54.0,72.0,45.0,73.0,79.0,48.0,53.0,72.0,60.0,2.0
53,the Legend of KAGE,19.0,17.0,6.0,,14.0,10.0,13.0,2.0,15.0,,,6.0,24.0,3.0,13.0,6.0,1.0,10.0,24.0,13.0,
54,あなたの町の怪事件,223.0,121.0,203.0,,185.0,132.0,413.0,,142.0,,,,100.0,139.0,116.0,701.0,,111.0,100.0,161.0,
55,あゆのかぜ,21.0,15.0,7.0,2.0,17.0,11.0,2.0,2.0,17.0,,,11.0,20.0,6.0,17.0,6.0,5.0,19.0,20.0,15.0,
56,いざ、倒れ逝くその時まで,633.0,429.0,398.0,12.0,557.0,340.0,526.0,4.0,357.0,2.0,1.0,250.0,427.0,335.0,477.0,429.0,77.0,425.0,427.0,400.0,
57,いたずらに命をかけて,278.0,138.0,163.0,,223.0,129.0,273.0,,113.0,,,,122.0,146.0,133.0,363.0,,138.0,122.0,169.0,
58,おてんば恋娘,2653.0,2418.0,924.0,612.0,2126.0,1515.0,1352.0,166.0,3485.0,221.0,89.0,1545.0,5164.0,1111.0,4617.0,1404.0,1028.0,4346.0,5164.0,1859.0,38.0
59,お宇佐さまの素い幡,340.0,185.0,141.0,169.0,269.0,147.0,233.0,139.0,181.0,,,251.0,194.0,168.0,231.0,239.0,246.0,183.0,194.0,214.0,
60,かわいい悪魔,233.0,217.0,118.0,12.0,257.0,159.0,118.0,2.0,212.0,1.0,,77.0,303.0,126.0,214.0,100.0,31.0,209.0,303.0,206.0,
61,さくらさくら,620.0,513.0,237.0,177.0,578.0,388.0,365.0,122.0,958.0,132.0,79.0,317.0,997.0,249.0,1062.0,332.0,300.0,990.0,997.0,477.0,
62,ひもろぎ、むらさきにもえ,32.0,32.0,20.0,15.0,29.0,27.0,36.0,3.0,31.0,6.0,3.0,29.0,29.0,15.0,40.0,28.0,14.0,26.0,29.0,24.0,1.0
63,ほおずきみたいに紅い魂,947.0,849.0,274.0,108.0,813.0,566.0,362.0,45.0,1071.0,57.0,27.0,343.0,1205.0,400.0,1342.0,338.0,224.0,1079.0,1205.0,680.0,6.0
64,ぼくらの非想天則,492.0,260.0,455.0,,443.0,264.0,1106.0,,212.0,,,2412.0,230.0,252.0,258.0,1797.0,,231.0,230.0,311.0,
65,もう歌しか聞こえない,1769.0,1030.0,681.0,522.0,1460.0,783.0,1105.0,226.0,1037.0,324.0,,1061.0,1100.0,738.0,1337.0,922.0,956.0,1080.0,1100.0,995.0,
66,やみのちから,23.0,23.0,11.0,5.0,26.0,15.0,16.0,2.0,24.0,,,16.0,32.0,11.0,29.0,15.0,9.0,34.0,32.0,13.0,
67,アイリス,8.0,17.0,5.0,5.0,8.0,11.0,6.0,2.0,14.0,3.0,1.0,5.0,22.0,4.0,13.0,5.0,3.0,16.0,22.0,7.0,
68,アガルタの風,158.0,175.0,117.0,,153.0,115.0,,,169.0,,,,199.0,123.0,143.0,,,159.0,199.0,164.0,
69,アリスマエステラ,370.0,287.0,229.0,104.0,293.0,253.0,331.0,56.0,246.0,39.0,5.0,262.0,333.0,217.0,291.0,261.0,171.0,314.0,333.0,305.0,1.0
70,アルティメットトゥルース,952.0,602.0,517.0,177.0,847.0,522.0,783.0,109.0,535.0,130.0,69.0,642.0,599.0,532.0,625.0,705.0,462.0,584.0,599.0,622.0,
71,アンティークテラー,11.0,11.0,8.0,3.0,17.0,11.0,7.0,2.0,4.0,2.0,2.0,9.0,8.0,5.0,8.0,11.0,8.0,12.0,8.0,8.0,2.0
72,アンノウンX,407.0,358.0,276.0,,505.0,330.0,579.0,,465.0,,,1200.0,874.0,210.0,570.0,790.0,,1052.0,874.0,555.0,
73,イザナギオブジェクト,291.0,195.0,183.0,,247.0,160.0,,,192.0,,,,173.0,179.0,186.0,,,179.0,173.0,221.0,
74,エキストララブ,19.0,23.0,9.0,4.0,16.0,16.0,11.0,1.0,7.0,1.0,,10.0,26.0,7.0,16.0,9.0,2.0,23.0,26.0,20.0,
75,エクステンドアッシュ,786.0,659.0,389.0,81.0,745.0,470.0,509.0,47.0,772.0,50.0,,438.0,992.0,416.0,900.0,495.0,280.0,878.0,992.0,675.0,
76,エニグマティクドール,293.0,229.0,177.0,33.0,254.0,181.0,187.0,16.0,269.0,33.0,18.0,124.0,261.0,166.0,264.0,173.0,93.0,293.0,261.0,223.0,6.0
77,エネルギー黎明,77.0,43.0,47.0,,56.0,32.0,78.0,,36.0,,,83.0,47.0,37.0,34.0,92.0,58.0,50.0,47.0,47.0,
78,オカルトアラカルト,114.0,48.0,,,118.0,42.0,,,41.0,,,,37.0,30.0,48.0,,,29.0,37.0,92.0,
79,オリエンタルダークフライト,521.0,417.0,175.0,109.0,487.0,355.0,318.0,58.0,461.0,,,260.0,498.0,319.0,567.0,272.0,214.0,540.0,498.0,446.0,
80,オルフェの詩,34.0,23.0,18.0,2.0,20.0,12.0,17.0,,27.0,9.0,4.0,12.0,23.0,14.0,29.0,14.0,9.0,31.0,23.0,17.0,2.0
81,オルレアンの聖騎士,13.0,14.0,10.0,3.0,13.0,19.0,12.0,,5.0,,,6.0,20.0,5.0,18.0,6.0,4.0,17.0,20.0,7.0,
82,カナベラルの夢幻少女,19.0,17.0,9.0,,15.0,11.0,17.0,4.0,18.0,,1.0,11.0,24.0,10.0,26.0,14.0,4.0,14.0,24.0,8.0,
83,キャプテン・ムラサ,485.0,338.0,362.0,,453.0,274.0,636.0,,428.0,,,1406.0,449.0,291.0,529.0,1025.0,,448.0,449.0,376.0,
84,キュアリアス上海古牌,217.0,164.0,155.0,,188.0,104.0,309.0,,115.0,,,238.0,123.0,147.0,144.0,229.0,,117.0,123.0,144.0,
85,クリスタライズシルバー,557.0,386.0,308.0,272.0,479.0,225.0,539.0,70.0,394.0,84.0,47.0,552.0,461.0,310.0,459.0,518.0,476.0,420.0,461.0,339.0,5.0
86,ゲームオーバー,13.0,9.0,2.0,,5.0,1.0,2.0,,8.0,,,4.0,10.0,2.0,11.0,2.0,1.0,10.0,10.0,8.0,
87,ゴーストリード,137.0,86.0,90.0,,127.0,73.0,268.0,,74.0,,,,67.0,59.0,72.0,,,48.0,67.0,89.0,
88,サニーミルクの紅霧異変,255.0,190.0,164.0,74.0,245.0,153.0,213.0,,183.0,,,182.0,185.0,128.0,214.0,148.0,155.0,205.0,185.0,189.0,
89,サニールチルフレクション,101.0,55.0,68.0,37.0,80.0,44.0,111.0,,43.0,,,138.0,49.0,60.0,49.0,117.0,83.0,49.0,49.0,50.0,
90,サーカスレヴァリエ,78.0,90.0,37.0,9.0,68.0,59.0,38.0,14.0,105.0,18.0,17.0,25.0,151.0,47.0,120.0,20.0,31.0,119.0,151.0,68.0,
91,シルクロードアリス,78.0,56.0,42.0,13.0,69.0,60.0,54.0,8.0,67.0,13.0,5.0,48.0,63.0,45.0,61.0,43.0,29.0,52.0,63.0,52.0,3.0
92,シンデレラケージ,1288.0,841.0,588.0,500.0,1188.0,720.0,917.0,349.0,948.0,876.0,,1007.0,978.0,659.0,1047.0,898.0,943.0,970.0,978.0,946.0,
93,ジャパニーズサーガ,182.0,108.0,145.0,15.0,129.0,99.0,146.0,,77.0,,,46.0,83.0,107.0,65.0,54.0,33.0,60.0,83.0,117.0,
94,スカイルーイン,119.0,97.0,77.0,,121.0,84.0,126.0,,66.0,,,173.0,92.0,69.0,89.0,165.0,,98.0,92.0,81.0,
95,スターボウドリーム,26.0,14.0,9.0,3.0,23.0,12.0,12.0,2.0,18.0,,,10.0,20.0,10.0,16.0,11.0,6.0,15.0,20.0,13.0,
96,スターヴォヤージュ2008,116.0,84.0,94.0,52.0,83.0,61.0,149.0,,57.0,,,97.0,79.0,77.0,78.0,127.0,105.0,90.0,79.0,79.0,
97,スプートニク幻夜,90.0,68.0,65.0,5.0,89.0,65.0,91.0,8.0,56.0,7.0,1.0,94.0,70.0,53.0,88.0,78.0,12.0,84.0,70.0,77.0,2.0
98,タイトルドメイド,7.0,3.0,1.0,,2.0,2.0,1.0,,2.0,,,1.0,6.0,4.0,1.0,1.0,,2.0,6.0,2.0,
99,ツェペシュの幼き末裔,365.0,473.0,132.0,43.0,407.0,282.0,201.0,14.0,615.0,7.0,6.0,172.0,737.0,168.0,878.0,196.0,99.0,739.0,737.0,348.0,
100,ティアオイエツォン,495.0,295.0,249.0,156.0,434.0,235.0,389.0,62.0,327.0,78.0,68.0,422.0,359.0,263.0,405.0,368.0,353.0,386.0,359.0,297.0,11.0
101,テーマ・オブ・イースタンストーリー,138.0,170.0,84.0,28.0,115.0,83.0,64.0,,137.0,,,40.0,130.0,81.0,130.0,52.0,45.0,89.0,130.0,98.0,
102,ディザストラスジェミニ,21.0,11.0,21.0,10.0,18.0,12.0,36.0,11.0,14.0,10.0,9.0,22.0,14.0,16.0,9.0,23.0,19.0,19.0,14.0,10.0,
103,デザイアドライブ,3722.0,2340.0,2632.0,,2884.0,1853.0,3415.0,,2375.0,,,,2724.0,2205.0,2898.0,,,2581.0,2724.0,2383.0,
104,デザイアドリーム,151.0,95.0,109.0,,123.0,82.0,190.0,,114.0,,,,123.0,79.0,130.0,,,112.0,123.0,106.0,
105,トロヤ群の密林,99.0,64.0,75.0,,103.0,53.0,,,57.0,,,,90.0,61.0,95.0,,,88.0,90.0,70.0,
106,ニュースハウンド,31.0,14.0,26.0,,29.0,11.0,37.0,,21.0,,,,23.0,13.0,19.0,69.0,,15.0,23.0,16.0,
107,ネイティブフェイス,3726.0,3039.0,2133.0,2156.0,3097.0,1982.0,3503.0,,3353.0,,,4144.0,4541.0,1838.0,5096.0,3661.0,3749.0,4213.0,4541.0,2442.0,
108,ネクロファンタジア,6523.0,4390.0,2834.0,2377.0,5311.0,3355.0,4430.0,855.0,4580.0,988.0,311.0,4645.0,5964.0,3074.0,6147.0,4202.0,3919.0,5607.0,5964.0,4441.0,
109,ネメシスの要塞,56.0,26.0,43.0,,42.0,25.0,87.0,,19.0,,,,33.0,28.0,31.0,203.0,,22.0,33.0,39.0,
110,ハルトマンの妖怪少女,7430.0,6204.0,3539.0,,6070.0,3686.0,3844.0,,6211.0,,,3171.0,9811.0,4342.0,9215.0,3503.0,2051.0,8519.0,9811.0,4866.0,
111,ハーセルヴズ,61.0,43.0,48.0,27.0,62.0,37.0,58.0,29.0,31.0,8.0,5.0,65.0,35.0,41.0,38.0,60.0,32.0,29.0,35.0,53.0,
112,ハートフェルトファンシー,591.0,436.0,410.0,,535.0,356.0,504.0,,396.0,,,472.0,486.0,347.0,409.0,487.0,416.0,435.0,486.0,393.0,
113,パンデモニックプラネット,1594.0,1098.0,,,1539.0,937.0,,,1365.0,,,,1352.0,,1594.0,,,1268.0,1352.0,1237.0,
114,ヒロシゲ36号,1075.0,860.0,644.0,122.0,875.0,627.0,922.0,,780.0,,,443.0,1322.0,693.0,974.0,632.0,260.0,1117.0,1322.0,732.0,
115,ピュアヒューリーズ,5539.0,5351.0,,,5115.0,4232.0,,,5098.0,,,,4999.0,,5675.0,,,5235.0,4999.0,4962.0,
116,フェアリー冒険譚,48.0,21.0,22.0,,40.0,15.0,11.0,,25.0,,,16.0,21.0,30.0,27.0,13.0,,26.0,21.0,29.0,
117,フォルスストロベリー,52.0,38.0,46.0,19.0,61.0,36.0,57.0,26.0,24.0,7.0,4.0,75.0,38.0,32.0,41.0,56.0,57.0,38.0,38.0,30.0,2.0
118,フォールオブフォール,2776.0,1775.0,1614.0,754.0,2355.0,1400.0,2633.0,,1640.0,,,2123.0,2066.0,1559.0,2403.0,2256.0,1607.0,2153.0,2066.0,1729.0,
119,フラワリングナイト,3081.0,2170.0,1135.0,334.0,2435.0,1370.0,1671.0,191.0,2712.0,,,1808.0,3399.0,1359.0,3247.0,1747.0,1662.0,3055.0,3399.0,1831.0,
120,ブクレシュティの人形師,1025.0,642.0,575.0,266.0,992.0,557.0,1013.0,104.0,735.0,107.0,43.0,1019.0,801.0,560.0,855.0,980.0,748.0,792.0,801.0,743.0,5.0
121,プラスチックマインド,203.0,129.0,164.0,68.0,174.0,111.0,327.0,30.0,134.0,22.0,7.0,265.0,142.0,135.0,127.0,258.0,163.0,146.0,142.0,127.0,1.0
122,プリムローズシヴァ,2.0,12.0,5.0,1.0,10.0,1.0,8.0,2.0,3.0,4.0,4.0,6.0,34.0,1.0,12.0,9.0,4.0,22.0,34.0,3.0,1.0
123,プレイヤーズスコア,88.0,80.0,32.0,7.0,73.0,36.0,53.0,,67.0,,,49.0,112.0,28.0,69.0,48.0,26.0,93.0,112.0,68.0,
124,プレインエイジア,1530.0,808.0,715.0,725.0,1236.0,618.0,1216.0,435.0,913.0,615.0,,1339.0,944.0,809.0,998.0,1229.0,1217.0,867.0,944.0,833.0,
125,ボーダーオブライフ,1488.0,1146.0,855.0,581.0,1329.0,782.0,1207.0,248.0,1282.0,340.0,164.0,1422.0,1849.0,812.0,2327.0,1277.0,1161.0,1851.0,1849.0,1077.0,
126,ボールのある日常,6.0,6.0,,,5.0,1.0,,,6.0,,,,12.0,4.0,8.0,,,7.0,12.0,2.0,
127,ポイズンボディ,220.0,184.0,117.0,65.0,193.0,132.0,207.0,65.0,194.0,,,198.0,212.0,139.0,262.0,208.0,136.0,199.0,212.0,160.0,
128,マジカルストーム,81.0,58.0,126.0,,69.0,55.0,,,56.0,,,,69.0,76.0,39.0,,,72.0,69.0,55.0,
129,ミストレイク,337.0,229.0,298.0,,322.0,188.0,,,164.0,,,,141.0,213.0,167.0,,,141.0,141.0,218.0,
130,ミッドナイトスペルカード,56.0,37.0,,,43.0,20.0,,,28.0,,,,32.0,49.0,32.0,,,26.0,32.0,34.0,
131,メイガスナイト,3261.0,1663.0,2223.0,,2619.0,1424.0,2926.0,,1571.0,,,,1503.0,1933.0,1788.0,2484.0,,1580.0,1503.0,2010.0,
132,メイドと血の懐中時計,1577.0,1377.0,527.0,307.0,1353.0,936.0,846.0,183.0,1709.0,128.0,46.0,827.0,2746.0,659.0,2464.0,802.0,595.0,2328.0,2746.0,1109.0,13.0
133,メイド幻想,83.0,60.0,30.0,4.0,77.0,40.0,30.0,1.0,56.0,1.0,,14.0,110.0,42.0,69.0,14.0,6.0,60.0,110.0,63.0,
134,メイプルワイズ,84.0,80.0,33.0,21.0,65.0,49.0,56.0,7.0,77.0,11.0,4.0,39.0,74.0,39.0,72.0,46.0,28.0,77.0,74.0,46.0,3.0
135,ラクトガール,1799.0,1317.0,790.0,599.0,1491.0,923.0,1285.0,278.0,1544.0,304.0,137.0,1355.0,2058.0,830.0,2002.0,1249.0,1274.0,1825.0,2058.0,1064.0,32.0
136,ラストオカルティズム,1533.0,810.0,,,1214.0,755.0,,,789.0,,,,648.0,989.0,793.0,,,699.0,648.0,1172.0,
137,ラストリモート,4256.0,2667.0,2670.0,,3303.0,1992.0,3261.0,,2693.0,,,1640.0,3006.0,2611.0,3041.0,2332.0,918.0,2943.0,3006.0,2551.0,
138,リジッドパラダイス,443.0,273.0,364.0,,389.0,181.0,1170.0,,248.0,,,,221.0,229.0,294.0,,,219.0,221.0,276.0,
139,リバースイデオロギー,2093.0,1055.0,1086.0,,1812.0,845.0,,,1230.0,,,,1230.0,1245.0,1356.0,,,1139.0,1230.0,1290.0,
140,リーインカーネーション,1112.0,649.0,703.0,586.0,815.0,472.0,1277.0,135.0,640.0,126.0,50.0,1596.0,762.0,587.0,742.0,1276.0,1178.0,661.0,762.0,600.0,16.0
141,ルーズレイン,228.0,128.0,169.0,,187.0,120.0,244.0,,101.0,,,,121.0,169.0,114.0,295.0,,122.0,121.0,152.0,
142,ルーネイトエルフ,907.0,689.0,370.0,43.0,813.0,508.0,463.0,17.0,833.0,21.0,8.0,321.0,889.0,459.0,992.0,356.0,169.0,844.0,889.0,643.0,2.0
143,レトロスペクティブ京都,768.0,530.0,435.0,539.0,711.0,454.0,844.0,,604.0,,,921.0,552.0,411.0,618.0,795.0,792.0,638.0,552.0,536.0,
144,ロマンチック逃飛行,227.0,133.0,,,178.0,129.0,,,106.0,,,,105.0,188.0,103.0,,,130.0,105.0,146.0,
145,ヴォヤージュ1969,1022.0,891.0,496.0,314.0,957.0,676.0,811.0,223.0,907.0,321.0,,806.0,1291.0,526.0,1016.0,797.0,722.0,1091.0,1291.0,809.0,
146,ヴォヤージュ1970,616.0,448.0,275.0,172.0,570.0,375.0,465.0,74.0,471.0,213.0,,436.0,572.0,309.0,520.0,436.0,390.0,532.0,572.0,433.0,
147,ヴワル魔法図書館,657.0,646.0,264.0,113.0,622.0,434.0,376.0,73.0,761.0,11.0,9.0,410.0,877.0,298.0,947.0,416.0,169.0,880.0,877.0,488.0,2.0
148,七玉蒐集ショウダウン,39.0,11.0,,,32.0,10.0,,,10.0,,,,5.0,19.0,7.0,,,11.0,5.0,14.0,
149,万年置き傘にご注意を,1072.0,721.0,522.0,,1008.0,530.0,791.0,,796.0,,,1026.0,880.0,544.0,864.0,999.0,,836.0,880.0,694.0,
150,上海紅茶館,6086.0,4588.0,2257.0,1355.0,5042.0,3118.0,3562.0,527.0,5431.0,386.0,156.0,3269.0,6630.0,2873.0,7030.0,3434.0,2512.0,6349.0,6630.0,3946.0,47.0
151,不可能弾幕には反則を,230.0,129.0,,,171.0,98.0,,,143.0,,,,147.0,169.0,144.0,,,132.0,147.0,133.0,
152,不思議なお祓い棒,917.0,866.0,635.0,,781.0,728.0,,,693.0,,,,645.0,643.0,711.0,,,679.0,645.0,816.0,
153,不思議な不思議な道具達,121.0,78.0,115.0,,96.0,78.0,,,66.0,,,,67.0,66.0,81.0,,,80.0,67.0,81.0,
154,不思議の国のアリス,1057.0,922.0,730.0,157.0,1007.0,693.0,975.0,39.0,871.0,26.0,15.0,805.0,1130.0,667.0,954.0,879.0,477.0,1034.0,1130.0,814.0,6.0
155,丑三つ時の里,7.0,8.0,9.0,,8.0,3.0,,,10.0,,,,6.0,1.0,9.0,,,8.0,6.0,7.0,
156,世界の果て,12.0,16.0,9.0,2.0,17.0,7.0,5.0,,23.0,,,4.0,19.0,4.0,19.0,6.0,4.0,14.0,19.0,11.0,
157,久遠の夢,8.0,4.0,4.0,,6.0,3.0,3.0,,10.0,,,,8.0,4.0,10.0,5.0,1.0,9.0,8.0,2.0,
158,久遠の楽園,8.0,10.0,5.0,1.0,4.0,7.0,6.0,1.0,5.0,,,3.0,13.0,7.0,9.0,4.0,1.0,13.0,13.0,8.0,
159,乙女戦士,9.0,8.0,3.0,1.0,7.0,8.0,5.0,,11.0,,1.0,8.0,9.0,5.0,13.0,12.0,6.0,11.0,9.0,9.0,
160,九月のパンプキン,828.0,372.0,,,749.0,331.0,,,342.0,,,,269.0,,338.0,,,303.0,269.0,476.0,
161,二つの世界,71.0,27.0,31.0,,44.0,23.0,61.0,,28.0,,,52.0,24.0,42.0,18.0,49.0,,21.0,24.0,35.0,
162,二色蓮花蝶,1834.0,1134.0,786.0,205.0,1616.0,995.0,1087.0,127.0,1179.0,149.0,48.0,1089.0,1227.0,1074.0,1328.0,1024.0,640.0,1212.0,1227.0,1280.0,11.0
163,亡き王女の為のセプテット,11644.0,8239.0,4847.0,2262.0,9367.0,5757.0,7331.0,816.0,9498.0,839.0,383.0,6607.0,12140.0,5435.0,12929.0,6770.0,4896.0,11605.0,12140.0,7235.0,81.0
164,亡失のエモーション,1286.0,786.0,1182.0,,1177.0,731.0,,,935.0,,,,958.0,895.0,1006.0,,,931.0,958.0,980.0,
165,人形のある風景,57.0,24.0,49.0,,39.0,19.0,91.0,,16.0,,,123.0,28.0,32.0,20.0,116.0,,13.0,28.0,32.0,
166,人形の森,41.0,47.0,20.0,2.0,51.0,27.0,27.0,5.0,46.0,4.0,5.0,18.0,88.0,28.0,68.0,23.0,8.0,68.0,88.0,29.0,1.0
167,人形裁判,2319.0,1606.0,953.0,640.0,2050.0,1238.0,1641.0,206.0,2007.0,240.0,132.0,1458.0,2288.0,1138.0,2485.0,1380.0,1200.0,2154.0,2288.0,1529.0,40.0
168,人恋し神様,326.0,247.0,259.0,74.0,278.0,180.0,433.0,,249.0,,,404.0,313.0,192.0,301.0,371.0,218.0,281.0,313.0,243.0,
169,人気のある場所,15.0,9.0,13.0,,13.0,8.0,,,3.0,,,,8.0,8.0,14.0,,,7.0,8.0,11.0,
170,人気のない場所,12.0,3.0,3.0,,5.0,4.0,,,4.0,,,,4.0,2.0,6.0,,,7.0,4.0,,
171,今昔幻想郷,772.0,463.0,530.0,332.0,696.0,361.0,1071.0,249.0,612.0,,,997.0,716.0,491.0,722.0,1104.0,754.0,648.0,716.0,461.0,
172,以魚駆蠅,13.0,8.0,6.0,,8.0,2.0,5.0,,8.0,,,8.0,13.0,3.0,8.0,9.0,10.0,9.0,13.0,7.0,
173,仰空,160.0,87.0,79.0,9.0,151.0,76.0,68.0,14.0,71.0,,,59.0,51.0,109.0,71.0,56.0,31.0,71.0,51.0,87.0,
174,伝説の巨神,12.0,5.0,8.0,,10.0,4.0,15.0,,8.0,,,41.0,12.0,7.0,14.0,29.0,,10.0,12.0,11.0,
175,佐渡の二ッ岩,971.0,492.0,700.0,,731.0,388.0,1472.0,,444.0,,,,521.0,530.0,532.0,,,594.0,521.0,558.0,
176,価値がわからない,4.0,6.0,,,6.0,8.0,,,2.0,,,,3.0,1.0,5.0,,,4.0,3.0,4.0,
177,信仰は儚き人間の為に,3461.0,2446.0,2014.0,1180.0,2724.0,1681.0,3139.0,,2467.0,,,3425.0,3019.0,1745.0,2860.0,3280.0,2562.0,2965.0,3019.0,2177.0,
178,兎は舞い降りた,518.0,535.0,,,697.0,396.0,,,471.0,,,,476.0,,511.0,,,521.0,476.0,422.0,
179,公正なる奪い合い,36.0,14.0,,,25.0,8.0,,,8.0,,,,6.0,17.0,12.0,,,8.0,6.0,18.0,
180,六十年目の東方裁判,2395.0,1780.0,1030.0,586.0,1913.0,1307.0,1273.0,440.0,2016.0,,,1380.0,2209.0,1073.0,2419.0,1145.0,1039.0,2183.0,2209.0,1660.0,
181,冷吟閑酔,19.0,32.0,10.0,,9.0,17.0,13.0,,41.0,,,9.0,192.0,6.0,41.0,19.0,13.0,112.0,192.0,15.0,
182,凍り付いた永遠の都,758.0,437.0,,,619.0,380.0,,,441.0,,,,576.0,,527.0,,,563.0,576.0,480.0,
183,勝利デモ,5.0,5.0,1.0,,1.0,1.0,5.0,,1.0,,1.0,2.0,4.0,0.0,5.0,3.0,1.0,5.0,4.0,7.0,
184,千年幻想郷,3552.0,2398.0,1761.0,1173.0,2883.0,1904.0,2659.0,438.0,2765.0,633.0,,2639.0,4324.0,2029.0,3303.0,2539.0,2434.0,3790.0,4324.0,2321.0,
185,博麗,49.0,46.0,27.0,6.0,34.0,32.0,43.0,5.0,34.0,7.0,1.0,30.0,56.0,21.0,50.0,30.0,27.0,52.0,56.0,32.0,1.0
186,博麗神社境内,50.0,27.0,18.0,3.0,39.0,17.0,36.0,5.0,23.0,1.0,,18.0,29.0,31.0,31.0,26.0,14.0,25.0,29.0,18.0,
187,厄神様の通り道,1373.0,856.0,805.0,825.0,1110.0,653.0,1523.0,,1007.0,,,1528.0,1284.0,649.0,1439.0,1529.0,1304.0,1324.0,1284.0,886.0,
188,反則の狼煙を上げろ,90.0,53.0,,,70.0,34.0,,,47.0,,,,42.0,38.0,54.0,,,53.0,42.0,60.0,
189,古きユアンシェン,1883.0,1140.0,1262.0,,1483.0,826.0,2338.0,,982.0,,,,803.0,1026.0,1109.0,,,933.0,803.0,1149.0,
190,古の冥界寺,25.0,46.0,16.0,5.0,29.0,26.0,15.0,3.0,32.0,5.0,,22.0,28.0,21.0,32.0,10.0,6.0,34.0,28.0,34.0,
191,可愛い大戦争のリフレーン,170.0,109.0,152.0,,141.0,76.0,269.0,,97.0,,,115.0,104.0,85.0,107.0,469.0,,86.0,104.0,97.0,
192,可能性を信じて,5.0,3.0,,,3.0,2.0,,,2.0,,,,2.0,0.0,8.0,,,6.0,2.0,4.0,
193,各々の結末,9.0,8.0,,,9.0,3.0,,,3.0,,,,5.0,4.0,7.0,,,4.0,5.0,3.0,
194,向こう側の月,118.0,150.0,46.0,15.0,105.0,102.0,65.0,,139.0,,,41.0,236.0,52.0,115.0,60.0,27.0,198.0,236.0,92.0,
195,君はあの影を見たか,292.0,193.0,200.0,,292.0,159.0,364.0,,139.0,,,496.0,135.0,170.0,162.0,451.0,,160.0,135.0,217.0,
196,呑んべぇのレムリア,142.0,111.0,101.0,31.0,141.0,86.0,155.0,,93.0,,,162.0,85.0,77.0,104.0,153.0,155.0,90.0,85.0,116.0,
197,嘲りの遊戯,26.0,12.0,21.0,,28.0,16.0,20.0,,16.0,,,19.0,33.0,14.0,25.0,31.0,30.0,18.0,33.0,21.0,
198,地の色は黄色,363.0,241.0,171.0,,303.0,226.0,276.0,,211.0,,,209.0,396.0,189.0,526.0,235.0,235.0,401.0,396.0,390.0,
199,地霊達の帰宅,43.0,31.0,21.0,,43.0,31.0,29.0,,38.0,,,29.0,49.0,17.0,57.0,41.0,45.0,39.0,49.0,31.0,
200,地霊達の起床,97.0,86.0,50.0,,79.0,77.0,67.0,,64.0,,,78.0,107.0,52.0,93.0,75.0,119.0,87.0,107.0,71.0,
201,塵界不変のペシミズム,34.0,33.0,26.0,,18.0,18.0,,,53.0,,,,81.0,24.0,28.0,,,76.0,81.0,15.0,
202,夏明き,6.0,2.0,3.0,1.0,8.0,6.0,1.0,2.0,10.0,,,2.0,23.0,3.0,15.0,2.0,3.0,23.0,23.0,4.0,
203,外界フォークロア,91.0,58.0,,,75.0,49.0,,,61.0,,,,36.0,45.0,56.0,,,33.0,36.0,93.0,
